ontology,GO_ID,GO_term_name,term_size
BP,GO:0009788,negative regulation of abscisic acid-activated signaling pathway,27
BP,GO:0010268,brassinosteroid homeostasis,27
BP,GO:0015977,carbon fixation,27
BP,GO:0016310,phosphorylation,27
BP,GO:0019253,reductive pentose-phosphate cycle,27
BP,GO:0030261,chromosome condensation,27
BP,GO:0031408,oxylipin biosynthetic process,27
BP,GO:0045087,innate immune response,27
BP,GO:0051604,protein maturation,27
BP,GO:0006779,porphyrin-containing compound biosynthetic process,26
BP,GO:0007031,peroxisome organization,26
BP,GO:0007034,vacuolar transport,26
BP,GO:0009723,response to ethylene,26
BP,GO:0009772,photosynthetic electron transport in photosystem II,26
BP,GO:0010027,thylakoid membrane organization,26
BP,GO:0015706,nitrate transmembrane transport,26
BP,GO:0016070,RNA metabolic process,26
BP,GO:0017004,cytochrome complex assembly,26
BP,GO:0051453,regulation of intracellular pH,26
BP,GO:0000956,nuclear-transcribed mRNA catabolic process,25
BP,GO:0005991,trehalose metabolic process,25
BP,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",25
BP,GO:0006302,double-strand break repair,25
BP,GO:0006384,transcription initiation at RNA polymerase III promoter,25
BP,GO:0006885,regulation of pH,25
BP,GO:0009555,pollen development,25
BP,GO:0015711,organic anion transport,25
BP,GO:0032502,developmental process,25
BP,GO:0046246,terpene biosynthetic process,25
BP,GO:0046940,nucleoside monophosphate phosphorylation,25
BP,GO:0048193,Golgi vesicle transport,25
BP,GO:0051259,protein complex oligomerization,25
BP,GO:0071577,zinc ion transmembrane transport,25
BP,GO:0072657,protein localization to membrane,25
BP,GO:0000302,response to reactive oxygen species,24
BP,GO:0000423,mitophagy,24
BP,GO:0006108,malate metabolic process,24
BP,GO:0006406,mRNA export from nucleus,24
BP,GO:0006892,post-Golgi vesicle-mediated transport,24
BP,GO:0006896,Golgi to vacuole transport,24
BP,GO:0008360,regulation of cell shape,24
BP,GO:0009640,photomorphogenesis,24
BP,GO:0009768,"photosynthesis, light harvesting in photosystem I",24
BP,GO:0009853,photorespiration,24
BP,GO:0030488,tRNA methylation,24
BP,GO:0045292,"mRNA cis splicing, via spliceosome",24
BP,GO:0045489,pectin biosynthetic process,24
BP,GO:0071035,nuclear polyadenylation-dependent rRNA catabolic process,24
