pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tfisher_p_min,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
PWY-6527,stachyose degradation,11,0.191904047976012,0.191904047976012,0.236116076481686,,0.855402880749524,0.0784289813392354,0.271125671204363,0.317230795815542,0.14721343745768,0.0553613589791788,0.5,,,,,,5
PWY-6619,adenine and adenosine salvage VI,2,0.191904047976012,0.191904047976012,0.285614106754863,,0.233779858544306,0.219856516841493,0.3354652639,0.161130512409772,0.694333340847004,0.219856516841493,1,,,,,,5
PWY-3261,UDP-&beta;-L-rhamnose biosynthesis,4,0.19240379810095,0.19240379810095,0.231244007137846,,0.242883225437356,0.128603334730943,0.170128387124221,0.285163491290266,0.577221417629604,0.0972007413846835,0.5,,,,,,5
PWY-282,cuticular wax biosynthesis,11,0.202898550724638,0.202898550724638,0.24424249487357,,0.202583454106199,0.18005878371728,0.431206493795208,0.121045688430136,0.638610658533722,0.18005878371728,1,,,,,,5
PWY3O-4107,NAD salvage pathway V (PNC V cycle),11,0.207396301849075,0.207396301849075,0.250243875045194,,0.152331850384137,0.307701240280366,0.168825559407544,0.228866013427483,0.640667262487306,0.184257732802519,0.05,,,,,,5
PWY-4861,UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate),5,0.208395802098951,0.208395802098951,0.273390657049881,,0.170180575445053,0.337277943647543,0.151468827319951,0.345303234486172,0.622222526541604,0.152654659227502,0.05,,,,,,5
PWY-6908,thiamine diphosphate biosynthesis IV (eukaryotes),8,0.208895552223888,0.208895552223888,0.256201454088891,,0.218031070952174,0.350696278795379,0.0747297448664094,0.737226848146906,0.556739142488354,0.0747312377647402,0.01,,,,,,5
PWY-43,putrescine biosynthesis II,4,0.209895052473763,0.209895052473763,0.307696033399396,,0.254683455490872,0.222920991328584,0.334406914302834,0.186022317089684,0.713002784693629,0.222920991328583,1,,,,,,5
PWY-6367,D-<i>myo</i>-inositol-5-phosphate metabolism,8,0.210894552723638,0.210894552723638,0.262280692644181,,0.173920964857732,0.228292019418322,0.163425184042619,0.35535648430438,0.627822042368424,0.1700221831495,0.05,,,,,,5
PWY-4201,volatile cinnamoic ester biosynthesis,4,0.211394302848576,0.211394302848576,0.344190479813704,,0.247687062655836,0.364961022030725,0.165789911276475,0.48805944619293,0.66808074201578,0.1658747315925,0.05,,,,,,5
PWY-7199,pyrimidine deoxyribonucleosides salvage,7,0.213893053473263,0.213893053473263,0.290884353479178,,0.203944099580301,0.233734357503482,0.320410192984924,0.195048644781388,0.683002582243358,0.233734357503482,1,,,,,,5
PWY-5125,anthocyanin biosynthesis,13,0.216391804097951,0.216391804097951,0.257649465481805,,0.514714533212738,0.114370119293815,0.382386361274709,0.148670315534571,0.569273415233751,0.114370119293815,1,,,,,,5
ARG-PRO-PWY,L-arginine degradation VI (arginase 2 pathway),4,0.216891554222889,0.216891554222889,0.306634685684307,,0.259012383347604,0.212820499363433,0.400522681304842,0.167433987518002,0.710957096805934,0.212820499363433,1,,,,,,5
SUCSYN-PWY,sucrose biosynthesis I (from photosynthesis),33,0.217891054472764,0.217891054472764,0.198272597378779,,0.176683397412046,0.128014597010021,0.361522135958173,0.195901154309254,0.232236097022263,0.103904015336947,0.05,,,,,,5
PWY-7909,formaldehyde oxidation VII (THF pathway),4,0.229385307346327,0.229385307346327,0.337440636338022,,0.292889585046267,0.222182800141709,0.337922296378614,0.238570004400211,0.711793736553371,0.217050084091958,0.5,,,,,,5
LEU-DEG2-PWY,L-leucine degradation I,12,0.232383808095952,0.232383808095952,0.299371076323672,,0.215353652480452,0.361012682097358,0.109903472203899,0.661275324376833,0.589695596090719,0.109906985678261,0.01,,,,,,5
PWY-5137,"fatty acid &beta;-oxidation III (unsaturated, odd number)",6,0.232383808095952,0.232383808095952,0.284447951328747,,0.182431140041799,0.337613415131601,0.1596484200314,0.352821012860326,0.624175536444437,0.162065301807501,0.05,,,,,,5
PWY-5936,xyloglucan biosynthesis,52,0.234382808595702,0.234382808595702,0.140607287681381,,0.138670786529183,0.107957036368773,0.220036429883152,0.097223369491584,0.219823029178974,0.107957036368773,1,,,,,,5
PWY-5138,"unsaturated, even numbered fatty acid &beta;-oxidation",12,0.237381309345327,0.237381309345327,0.297763035343442,,0.247375273254509,0.253727124303272,0.293809222044278,0.180631502005347,0.679485096823946,0.253727124303272,1,,,,,,5
PWY-6468,&omega;- hydroxylation of laurate,2,0.237381309345327,0.237381309345327,0.354795162886638,,0.275394253594933,0.296687890493901,0.2939463271,0.262005090733629,0.719442412481192,0.296687890493901,1,,,,,,5
PWY-6837,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",7,0.237381309345327,0.237381309345327,0.319255420640558,,0.205807141668108,0.391853713760462,0.183659785725843,0.365855488913797,0.640762583005618,0.186918950265312,0.05,,,,,,5
PWY-5698,allantoin degradation to ureidoglycolate II (ammonia producing),3,0.241879060469765,0.241879060469765,0.367086382819356,,0.304229588669251,0.292813928166818,0.260002870768328,0.322800251058747,0.716937662431536,0.271630145344143,0.5,,,,,,5
PROSYN-PWY,L-proline biosynthesis I,4,0.242378810594703,0.242378810594703,0.30967255003663,,0.284372406195546,0.185947658584074,0.400522681304842,0.191564639792205,0.692363358931491,0.178563427356733,0.5,,,,,,5
PWY-6012,acyl carrier protein metabolism,3,0.243378310844578,0.243378310844578,0.357971326430349,,0.28270392863125,0.284221465550784,0.312656754940992,0.260919768795699,0.720039781744225,0.282577431492859,0.5,,,,,,5
PWY-3982,uracil degradation I (reductive),3,0.245877061469265,0.245877061469265,0.35641517007865,,0.284400938145675,0.291332135558639,0.434595870891,0.189016253496207,0.722571337504246,0.291332135558639,1,,,,,,5
PWY-2541,phytosterol biosynthesis (plants),27,0.247876061969016,0.247876061969016,0.195546649019158,,0.115095078310363,0.388112048230281,0.106986405520447,0.380473436274798,0.28118026414108,0.110630644189759,0.01,,,,,,5
PWY-3181,L-tryptophan degradation VI (via tryptamine),10,0.247876061969016,0.247876061969016,0.31382391733493,,0.217316853142986,0.230394379689363,0.235225250331257,0.426111241703341,0.616737471887777,0.135910832843225,0.5,,,,,,5
PWY3O-450,phosphatidylcholine biosynthesis I,6,0.247876061969016,0.247876061969016,0.334789557572066,,0.274669370768388,0.255865305487057,0.542674909676839,0.145600820263649,0.726089765770426,0.255865305487057,1,,,,,,5
PWY-5945,"violaxanthin, antheraxanthin and zeaxanthin interconversion",7,0.248375812093953,0.248375812093953,0.348592953907453,,0.489519921934714,0.177970843103894,0.42838515355967,0.232015076458751,0.622309968440743,0.162039574413276,0.5,,,,,,5
PWY0-662,PRPP biosynthesis,5,0.250374812593703,0.250374812593703,0.362888012429775,,0.305001828792349,0.34930566209697,0.172430550417197,0.526417814266237,0.646579648217258,0.173084326746158,0.05,,,,,,5
PWY-4203,volatile benzenoid biosynthesis I (ester formation),28,0.250874562718641,0.250874562718641,0.245862551063175,,0.189257831192825,0.167412516850423,0.315113949084811,0.294979204189998,0.346654486502064,0.12875930009412,0.5,,,,,,5
PWY-5692,allantoin degradation to glyoxylate II,2,0.256871564217891,0.256871564217891,0.376563961073802,,0.400789632745805,0.292779338663179,0.181874322991,0.466385963680675,0.69504990548536,0.222293775135834,0.5,,,,,,5
PWY-5807,heptaprenyl diphosphate biosynthesis,5,0.258870564717641,0.258870564717641,0.360785189178642,,0.250359927370187,0.339213289650142,0.252770446683509,0.287451229081187,0.747477019596047,0.339213289650142,1,,,,,,5
CITRULLINE-DEG-PWY,L-citrulline degradation,4,0.260869565217391,0.260869565217391,0.345009063647471,,0.252994622449601,0.336365160817314,0.181429066973844,0.419757066523774,0.697937281777365,0.18143283107385,0.05,,,,,,5
PWY-861,dhurrin biosynthesis,25,0.260869565217391,0.260869565217391,0.227900604235127,,0.152015262974767,0.227028831790236,0.156568057142746,0.29495860763683,0.486690513079621,0.157687185996572,0.01,,,,,,5
PWY-5466,matairesinol biosynthesis,4,0.263368315842079,0.263368315842079,0.389926615614032,,0.302422072384296,0.297972897402177,0.692624819327141,0.152306782391739,0.730801739964659,0.297972897402177,1,,,,,,5
PWY-5863,superpathway of phylloquinol biosynthesis,8,0.264367816091954,0.264367816091954,0.346969744599449,,0.230458394298305,0.354891251976755,0.165919820513891,0.599973976341274,0.629285300672097,0.172378842680282,0.05,,,,,,5
PWY-7039,"phosphatidate metabolism, as a signaling molecule",39,0.266366816591704,0.266366816591704,0.300067330166293,,0.39274123548956,0.185109997111299,0.526146845893668,0.166407653520186,0.466201445317298,0.185109997111299,1,,,,,,5
PWY-7484,"phytocassanes biosynthesis, shared reactions",10,0.267866066966517,0.267866066966517,0.345631914229443,,0.308966857257404,0.257289226188356,0.410183734588172,0.20212530702478,0.683921409244273,0.257289226188356,1,,,,,,5
PWY-6549,L-glutamine biosynthesis III,26,0.274362818590705,0.274362818590705,0.330295127085653,,0.202532121686843,0.480302929603919,0.163242207240783,0.57618483375481,0.498953028484063,0.16441460196956,0.01,,,,,,5
PWY-3462,L-phenylalanine biosynthesis II,6,0.279860069965018,0.279860069965018,0.409718014509433,,0.317300051579151,0.337253469005208,0.610081640483998,0.175512648239878,0.752501801192323,0.337253469005208,1,,,,,,5
PWY-5337,stachyose biosynthesis,11,0.280859570214893,0.280859570214893,0.354746245833421,,0.299406473690729,0.254925797754707,0.612426224203601,0.164329541580055,0.680684122865685,0.254925797754707,1,,,,,,5
PWY-6233,jasmonoyl-amino acid conjugates biosynthesis II,5,0.282858570714643,0.282858570714643,0.430848267192728,,0.324411641035493,0.338387255166067,0.630163518561431,0.203130911660882,0.74727280076318,0.338387255166067,1,,,,,,5
PWY1F-467,"phenylpropanoid biosynthesis, initial reactions",11,0.282858570714643,0.282858570714643,0.365231705998905,,0.333944603487932,0.277147798422335,0.79221991241855,0.107532576683832,0.694995195673979,0.277147798422335,1,,,,,,5
PWY4FS-8,phosphatidylglycerol biosynthesis II (non-plastidic),2,0.28335832083958,0.28335832083958,0.436547171875497,,0.343379740981235,0.372417421390629,0.3667501071,0.331258599042101,0.746885012236325,0.372417421390629,1,,,,,,5
THIOREDOX-PWY,thioredoxin pathway,20,0.285857071464268,0.285857071464268,0.345091562657822,,0.253851051733764,0.286638544202984,0.322499691405157,0.250711636644528,0.703299235506235,0.286638544202984,1,,,,,,5
PWY-6443,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",104,0.286856571714143,0.286856571714143,0.177813437047158,,0.242785906264435,0.166608497661147,0.552311652966197,0.0648581599461148,0.340754853561247,0.166608497661147,1,,,,,,5
PWY-5669,phosphatidylserine and phosphatidylethanolamine biosynthesis I,3,0.287856071964018,0.287856071964018,0.413997098779377,,0.314074294168393,0.364699542423361,0.349975474609375,0.298734205607164,0.745344518076841,0.364699542423361,1,,,,,,5
PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic),2,0.289855072463768,0.289855072463768,0.436540854999226,,0.343379740981235,0.372417421390629,0.3667501071,0.331258599042101,0.74686825288225,0.372417421390629,1,,,,,,5
PWY-2161B,glutamate removal from folates,3,0.291854072963518,0.291854072963518,0.578882175662544,,0.614248962620891,0.445502485881335,0.509409648091091,0.485886054587898,0.761884910654116,0.415069403841872,0.5,,,,,,5
PWY-7995,tricin biosynthesis,24,0.299350324837581,0.299350324837581,0.355441570226742,,0.299167354744799,0.255867955911327,0.483272106720883,0.197259168444597,0.696031862408327,0.254565568105419,0.5,,,,,,5
