"pathway_id","pathway_name","n_genes","calib_mode","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","acat_p_mvn_cal","fisher_p_mvn_cal","tfisher_p_mvn_cal","minp_p_mvn_cal","stouffer_p_mvn_cal","omni_p_mvn_compcal","omni_p_final","omni_p_final_BH","omni_p_final_q_storey","omni_p_final_q_bky10","omni_p_final_q_ihw10","genes_used","gene_pvals_used","dominant_component","agreement_score","agreement_k","agreement_m","calibration_impact"
"PWY-7176","UTP and CTP <i>de novo</i> biosynthesis",12,"mvn",3.2347591545114e-08,9.63372185337355e-13,1e-50,0.05,70.1327674633455,3.75119993550562e-08,7.17922838852226e-08,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3008G127100;SORBI_3009G239301;SORBI_3009G239500;SORBI_3003G017300;SORBI_3003G241000;SORBI_3003G221200;SORBI_3010G007500;SORBI_3003G439600;SORBI_3004G318100;SORBI_3007G223100;SORBI_3006G003300;SORBI_3006G065800","5.152e-01;1.958e-08;3.126e-09;5.640e-01;1.114e-02;4.170e-01;7.842e-01;2.430e-01;5.707e-01;1.105e-01;4.717e-01;5.410e-03","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-7185","UTP and CTP dephosphorylation I",26,"mvn",7.00864753772645e-08,1.11366322311235e-08,1e-50,0.005,53.4712681433902,8.12759968241405e-08,0.00369531289315138,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3002G420600;SORBI_3001G356200;SORBI_3001G385000;SORBI_3007G137900;SORBI_3008G022100;SORBI_3008G021900;SORBI_3005G085901;SORBI_3005G018300;SORBI_3005G099500;SORBI_3005G086000;SORBI_3005G018200;SORBI_3009G166600;SORBI_3002G072300;SORBI_3002G206800;SORBI_3001G153300;SORBI_3001G073500;SORBI_3001G125000;SORBI_3003G274200;SORBI_3003G113200;SORBI_3003G061200;SORBI_3008G127100;SORBI_3009G239301;SORBI_3009G239500;SORBI_3003G017300;SORBI_3003G241000;SORBI_3003G221200","9.603e-01;5.361e-01;5.737e-01;7.149e-01;4.331e-01;5.566e-01;6.604e-01;4.472e-01;1.212e-01;2.301e-01;4.504e-01;1.983e-01;2.687e-01;6.611e-02;3.974e-01;7.284e-01;1.977e-02;3.712e-01;4.901e-01;8.242e-01;5.152e-01;1.958e-08;3.126e-09;5.640e-01;1.114e-02;4.170e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-7204","pyridoxal 5'-phosphate salvage II (plants)",12,"mvn",0.0155384915810818,0.000428522942630493,5.29696021489556e-07,0.2,25.0869172678488,0.0205659579944753,0.0063013082206877,NA,2.64483042911046e-06,1.61847832229147e-05,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G444200;SORBI_3004G098000;SORBI_3007G184200;SORBI_3001G125000;SORBI_3001G027300;SORBI_3001G422100;SORBI_3002G388400;SORBI_3001G193700;SORBI_3006G140700;SORBI_3002G030900;SORBI_3008G156300;SORBI_3001G532600","1.399e-01;6.692e-01;1.444e-01;1.977e-02;2.074e-01;7.730e-01;1.005e-02;6.699e-01;1.730e-03;2.355e-01;3.287e-02;4.906e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-7252","luteolinidin 5-<i>O</i>-glucoside biosynthesis",31,"mvn",0.00282249189175768,1.36335567344241e-08,1e-50,0.1,62.8164227509554,0.0042469283218217,5.79309605334906e-05,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3010G022700;SORBI_3010G022850;SORBI_3010G048600;SORBI_3010G245701;SORBI_3010G048500;SORBI_3003G287800;SORBI_3003G287700;SORBI_3003G288000;SORBI_3003G287600;SORBI_3003G288100;SORBI_3003G293700;SORBI_3009G205600;SORBI_3009G205800;SORBI_3009G206400;SORBI_3009G206300;SORBI_3009G205900;SORBI_3009G206000;SORBI_3009G205700;SORBI_3008G149000;SORBI_3007G100700;SORBI_3007G027301;SORBI_3001G377200;SORBI_3006G124100;SORBI_3002G311501;SORBI_3002G311400;SORBI_3002G079801;SORBI_3002G311300;SORBI_3002G311700;SORBI_3002G312000;SORBI_3002G130200;SORBI_3002G337400","6.823e-02;7.728e-02;3.317e-01;5.559e-01;5.285e-01;5.843e-01;7.073e-01;1.676e-01;3.352e-01;1.543e-01;2.812e-01;5.070e-03;9.643e-04;1.373e-04;1.466e-03;1.557e-03;1.094e-03;5.696e-03;6.352e-01;2.686e-01;5.398e-01;4.547e-02;4.561e-01;3.607e-01;7.094e-01;2.129e-01;8.725e-01;2.775e-01;7.692e-01;3.938e-01;8.965e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-7253","apigeninidin 5-<i>O</i>-glucoside biosynthesis",31,"mvn",0.00282249189175768,1.36335567344241e-08,1e-50,0.1,62.8164227509554,0.0042469283218217,5.79309605334906e-05,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3010G022700;SORBI_3010G022850;SORBI_3010G048600;SORBI_3010G245701;SORBI_3010G048500;SORBI_3003G287800;SORBI_3003G287700;SORBI_3003G288000;SORBI_3003G287600;SORBI_3003G288100;SORBI_3003G293700;SORBI_3009G205600;SORBI_3009G205800;SORBI_3009G206400;SORBI_3009G206300;SORBI_3009G205900;SORBI_3009G206000;SORBI_3009G205700;SORBI_3008G149000;SORBI_3007G100700;SORBI_3007G027301;SORBI_3001G377200;SORBI_3006G124100;SORBI_3002G311501;SORBI_3002G311400;SORBI_3002G079801;SORBI_3002G311300;SORBI_3002G311700;SORBI_3002G312000;SORBI_3002G130200;SORBI_3002G337400","6.823e-02;7.728e-02;3.317e-01;5.559e-01;5.285e-01;5.843e-01;7.073e-01;1.676e-01;3.352e-01;1.543e-01;2.812e-01;5.070e-03;9.643e-04;1.373e-04;1.466e-03;1.557e-03;1.094e-03;5.696e-03;6.352e-01;2.686e-01;5.398e-01;4.547e-02;4.561e-01;3.607e-01;7.094e-01;2.129e-01;8.725e-01;2.775e-01;7.692e-01;3.938e-01;8.965e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-735","jasmonic acid biosynthesis",32,"mvn",0.0188448032028093,7.29194682010973e-05,4.19704604404103e-10,0.2,54.4624960133308,0.0333964248459242,0.072476335171532,NA,2.09851080956724e-09,1.50945514372381e-08,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3010G049100;SORBI_3010G001900;SORBI_3003G391600;SORBI_3004G350600;SORBI_3001G189300;SORBI_3001G516600;SORBI_3001G500800;SORBI_3001G282800;SORBI_3002G158900;SORBI_3002G171001;SORBI_3004G078600;SORBI_3007G210400;SORBI_3001G483400;SORBI_3006G095600;SORBI_3004G093200;SORBI_3001G077400;SORBI_3001G449700;SORBI_3010G084600;SORBI_3010G084100;SORBI_3010G084700;SORBI_3010G084400;SORBI_3010G084300;SORBI_3009G003600;SORBI_3008G164450;SORBI_3008G079600;SORBI_3004G180500;SORBI_3007G151100;SORBI_3006G091900;SORBI_3006G091600;SORBI_3006G091800;SORBI_3006G091700;SORBI_3001G329800","2.844e-03;5.251e-01;3.089e-01;5.495e-01;8.504e-01;1.652e-01;1.061e-03;4.335e-01;2.872e-02;4.962e-01;9.155e-01;2.535e-01;2.218e-02;9.043e-02;1.495e-02;4.789e-01;8.100e-01;5.418e-01;4.586e-01;6.831e-01;5.985e-01;6.378e-01;4.134e-01;6.487e-01;4.250e-01;1.118e-02;7.500e-01;1.196e-02;4.284e-01;1.702e-02;3.124e-02;5.647e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"PWY-7411","phosphatidate biosynthesis (yeast)",32,"mvn",0.0137647635826996,8.38478726058786e-05,6.28815329806187e-08,0.1,35.8800814636767,0.0187482591861378,0.000909467344128441,NA,3.14147863333947e-07,2.07742941882126e-06,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G326800;SORBI_3003G420800;SORBI_3003G443400;SORBI_3009G183300;SORBI_3007G223801;SORBI_3001G247500;SORBI_3002G081500;SORBI_3008G187200;SORBI_3002G267500;SORBI_3006G221500;SORBI_3001G206000;SORBI_3008G112100;SORBI_3005G197100;SORBI_3009G015800;SORBI_3009G188900;SORBI_3003G317500;SORBI_3002G325300;SORBI_3006G041266;SORBI_3001G493300;SORBI_3001G026100;SORBI_3001G283700;SORBI_3001G250200;SORBI_3001G099300;SORBI_3008G130800;SORBI_3005G214400;SORBI_3009G202600;SORBI_3009G162000;SORBI_3009G157000;SORBI_3003G114200;SORBI_3003G360700;SORBI_3003G229700;SORBI_3003G142500","6.922e-01;2.455e-01;2.311e-01;2.779e-02;1.517e-01;8.420e-01;3.029e-01;6.336e-01;4.388e-01;3.074e-01;1.508e-01;7.795e-01;4.737e-03;7.037e-01;1.738e-02;3.620e-01;6.841e-01;5.700e-01;3.318e-01;2.369e-01;3.398e-01;4.825e-01;3.526e-01;6.363e-03;5.347e-01;5.913e-04;1.123e-02;1.410e-01;1.673e-02;6.826e-01;7.537e-01;1.859e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-7489","oryzalexin A, B, and C biosynthesis",2,"mvn",0.000507008098363517,0.000328942212963517,3.33066907387547e-16,0.2,14.4789421906523,0.0005080354585975,0.00037913304687916,NA,1.83186799063151e-15,1.59801250246578e-14,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3006G065300;SORBI_3006G041700","2.541e-04;1.130e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY4FS-2","phosphatidylcholine biosynthesis II",13,"mvn",0.000197092157481322,0.00295460206658825,2.61079868835168e-09,0.001,8.37739839740679,0.000197140060408246,0.131222336137247,NA,1.30536358389222e-08,8.91998448993014e-08,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3010G187100;SORBI_3010G077100;SORBI_3004G016400;SORBI_3004G058200;SORBI_3007G051200;SORBI_3001G282900;SORBI_3003G354500;SORBI_3003G266600;SORBI_3003G266500;SORBI_3009G120400;SORBI_3009G218900;SORBI_3004G291700;SORBI_3001G219800","7.804e-01;5.119e-01;9.532e-01;7.890e-01;1.746e-01;4.403e-01;4.293e-01;1.210e-01;5.801e-02;3.313e-01;1.517e-05;4.295e-02;8.265e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"PWY4FS-3","phosphatidylcholine biosynthesis III",8,"mvn",0.000121247666510993,0.000233489908577834,4.68758365457234e-12,0.001,8.37739839740679,0.000121321559983773,0.0203917883161101,NA,2.34379182728617e-11,1.71599044497737e-10,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3004G212500;SORBI_3003G354500;SORBI_3003G266600;SORBI_3003G266500;SORBI_3009G120400;SORBI_3009G218900;SORBI_3004G291700;SORBI_3001G219800","6.611e-01;4.293e-01;1.210e-01;5.801e-02;3.313e-01;1.517e-05;4.295e-02;8.265e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY4FS-4","phosphatidylcholine biosynthesis IV",7,"mvn",0.000106088908818527,9.603748386867e-05,4.03788114056169e-13,0.2,25.5319067153029,0.000106157169963413,0.010119567233526,NA,2.01899608143208e-12,1.56186489318331e-11,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G354500;SORBI_3003G266600;SORBI_3003G266500;SORBI_3009G120400;SORBI_3009G218900;SORBI_3004G291700;SORBI_3001G219800","4.293e-01;1.210e-01;5.801e-02;3.313e-01;1.517e-05;4.295e-02;8.265e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY4FS-6","phosphatidylethanolamine biosynthesis II",9,"mvn",0.000359274911051234,0.0303199263112653,2.41252695598604e-09,0.001,6.44396127964336,0.000358826761892303,0.201209638148219,NA,1.20624717991902e-08,8.38239565706436e-08,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3010G077100;SORBI_3004G016400;SORBI_3005G017200;SORBI_3007G079400;SORBI_3003G277700;SORBI_3003G040700;SORBI_3009G211000;SORBI_3002G053600;SORBI_3002G214400","5.119e-01;9.532e-01;5.174e-01;4.475e-01;4.210e-01;6.629e-01;3.988e-05;9.060e-01;1.796e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"PWY4LZ-81","Organic Nitrogen Assimilation",20,"mvn",2.07206432280096e-11,3.7190214614125e-11,1e-50,0.02,62.4938370356244,2.07199999997961e-11,0.00013612203540885,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3007G174600;SORBI_3004G209300;SORBI_3005G150250;SORBI_3009G225700;SORBI_3003G258800;SORBI_3010G060800;SORBI_3002G402700;SORBI_3004G247000;SORBI_3001G231000;SORBI_3001G116400;SORBI_3001G451500;SORBI_3006G249400;SORBI_3004G351000;SORBI_3006G270100;SORBI_3001G026900;SORBI_3002G090200;SORBI_3002G090300;SORBI_3001G325200;SORBI_3001G156100;SORBI_3004G268100","5.608e-03;1.478e-04;7.844e-01;1.036e-12;3.236e-01;5.630e-01;6.091e-01;8.166e-02;3.206e-01;7.132e-01;8.238e-01;6.202e-02;7.979e-01;7.508e-01;5.010e-03;9.876e-02;1.871e-01;8.343e-01;6.034e-01;7.639e-02","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWYIO2-7","triacylglycerol biosynthesis (Chlamydomonas)",53,"mvn",5.4105811392378e-11,1.80181235094669e-16,1e-50,0.02,94.4402736411972,5.41076999985638e-11,1.00665660846511e-08,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3004G341900;SORBI_3002G218500;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3010G134400;SORBI_3010G170000;SORBI_3003G309600;SORBI_3003G258000;SORBI_3009G072700;SORBI_3009G226600;SORBI_3009G040250;SORBI_3009G034600;SORBI_3008G049000;SORBI_3004G261900;SORBI_3006G034200;SORBI_3002G020000;SORBI_3002G260000;SORBI_3010G193300;SORBI_3010G190300;SORBI_3003G265100;SORBI_3003G249000;SORBI_3003G078700;SORBI_3009G165400;SORBI_3009G221500;SORBI_3005G187300;SORBI_3004G293100;SORBI_3004G268300;SORBI_3007G108500;SORBI_3001G049300;SORBI_3001G408400;SORBI_3002G165140","2.934e-01;8.161e-01;3.620e-01;1.738e-02;7.037e-01;4.737e-03;7.795e-01;1.508e-01;3.074e-01;4.388e-01;1.859e-01;7.537e-01;6.826e-01;1.673e-02;1.410e-01;1.123e-02;5.913e-04;5.347e-01;6.363e-03;3.526e-01;4.825e-01;3.398e-01;2.369e-01;3.318e-01;5.700e-01;6.841e-01;2.218e-01;3.191e-01;1.247e-02;8.400e-01;9.574e-01;1.021e-12;4.112e-01;2.875e-01;3.193e-01;3.136e-03;1.757e-01;2.870e-01;7.106e-01;5.125e-01;6.210e-01;1.756e-02;1.835e-01;6.355e-01;2.689e-02;2.452e-08;7.582e-01;1.273e-02;2.107e-02;4.467e-01;4.806e-01;4.383e-01;6.300e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWYQT-4449","polyisoprenoid biosynthesis",5,"mvn",2.37459063159074e-06,1.44292662097703e-10,1e-50,0.2,52.3390962398956,3.15764601170111e-06,4.37214153092425e-10,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G270500;SORBI_3009G216800;SORBI_3006G248000;SORBI_3002G353300;SORBI_3009G246400","4.447e-02;1.915e-06;1.283e-01;3.456e-01;6.315e-07","tfisher_p_analytic",1,5,5,"Remains_significant"
"SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)",33,"mvn",6.62640089085488e-09,0.0129243076776279,1e-50,0.001,30.8419128982577,6.6263999787107e-09,0.665347406068559,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3001G071800;SORBI_3002G230600;SORBI_3010G219700;SORBI_3003G367500;SORBI_3009G152700;SORBI_3001G425400;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3009G041000;SORBI_3009G040900;SORBI_3004G151800;SORBI_3010G205100;SORBI_3003G403300;SORBI_3009G233200;SORBI_3005G089600;SORBI_3004G068400","4.326e-01;2.940e-01;6.492e-01;6.747e-02;3.036e-01;5.739e-01;5.370e-01;6.602e-01;5.923e-01;9.084e-01;1.885e-01;4.005e-01;9.694e-01;8.000e-01;9.565e-01;6.563e-01;7.858e-01;6.364e-01;5.993e-01;3.382e-01;8.301e-01;6.879e-01;6.136e-02;6.047e-01;9.135e-03;7.058e-01;8.351e-01;7.623e-01;7.719e-01;4.512e-01;2.008e-10;8.971e-01;9.330e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"TRIGLSYN-PWY","diacylglycerol and triacylglycerol biosynthesis",53,"mvn",5.4105811392378e-11,1.80181235094669e-16,1e-50,0.02,94.4402736411972,5.41076999985638e-11,1.00665660846511e-08,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3002G218500;SORBI_3004G341900;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3010G134400;SORBI_3010G170000;SORBI_3003G309600;SORBI_3003G258000;SORBI_3009G072700;SORBI_3009G226600;SORBI_3009G040250;SORBI_3009G034600;SORBI_3008G049000;SORBI_3004G261900;SORBI_3006G034200;SORBI_3002G020000;SORBI_3002G260000;SORBI_3010G193300;SORBI_3010G190300;SORBI_3003G265100;SORBI_3003G249000;SORBI_3003G078700;SORBI_3009G165400;SORBI_3009G221500;SORBI_3005G187300;SORBI_3004G293100;SORBI_3004G268300;SORBI_3007G108500;SORBI_3001G049300;SORBI_3001G408400;SORBI_3002G165140","8.161e-01;2.934e-01;3.620e-01;1.738e-02;7.037e-01;4.737e-03;7.795e-01;1.508e-01;3.074e-01;4.388e-01;1.859e-01;7.537e-01;6.826e-01;1.673e-02;1.410e-01;1.123e-02;5.913e-04;5.347e-01;6.363e-03;3.526e-01;4.825e-01;3.398e-01;2.369e-01;3.318e-01;5.700e-01;6.841e-01;2.218e-01;3.191e-01;1.247e-02;8.400e-01;9.574e-01;1.021e-12;4.112e-01;2.875e-01;3.193e-01;3.136e-03;1.757e-01;2.870e-01;7.106e-01;5.125e-01;6.210e-01;1.756e-02;1.835e-01;6.355e-01;2.689e-02;2.452e-08;7.582e-01;1.273e-02;2.107e-02;4.467e-01;4.806e-01;4.383e-01;6.300e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"VALSYN-PWY","L-valine biosynthesis",6,"mvn",6.8915687232601e-07,2.17657939839662e-06,1e-50,0.001,18.1435931250562,6.89159802107735e-07,2.37784011009555e-05,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3005G082200;SORBI_3004G210000;SORBI_3004G155800;SORBI_3003G239900;SORBI_3009G239900;SORBI_3007G167800","4.772e-01;2.416e-01;3.491e-02;2.978e-01;1.149e-07;1.747e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch)",14,"mvn",0.00696963829292003,0.0148385933323047,5.82429166229304e-06,0.05,14.8961230231071,0.00884756790284427,0.130719442197508,NA,2.90654228951581e-05,0.000167842582915702,NA,NA,3.99992000159997e-05,0.000227773222313332,NA,NA,NA,NA,NA,NA,3.99992000159997e-05,0.000227773222313332,0.000109711510770555,0.000328827539255162,0.000227773222313332,"SORBI_3003G182400;SORBI_3005G033000;SORBI_3008G135701;SORBI_3001G069000;SORBI_3002G051100;SORBI_3001G491000;SORBI_3002G257300;SORBI_3010G024000;SORBI_3010G023700;SORBI_3009G062800;SORBI_3007G078400;SORBI_3006G034300;SORBI_3003G410500;SORBI_3007G043400","8.034e-01;7.111e-01;2.957e-01;2.194e-01;6.346e-04;9.126e-01;4.039e-01;6.726e-01;6.885e-01;9.248e-02;4.543e-01;2.295e-03;2.893e-01;6.552e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"PWY-4203","volatile benzenoid biosynthesis I (ester formation)",28,"mvn",0.0107218538580329,0.00525593980815699,8.65485585921366e-06,0.2,38.4853383184976,0.0193540768168611,0.177165956042299,NA,4.31472631596264e-05,0.000242333943773244,NA,NA,3.99992000159997e-05,0.000227773222313332,NA,NA,NA,NA,NA,NA,3.99992000159997e-05,0.000227773222313332,0.000109711510770555,0.000328827539255162,0.000227773222313332,"SORBI_3006G209200;SORBI_3006G209300;SORBI_3006G209000;SORBI_3010G040700;SORBI_3010G040200;SORBI_3010G259500;SORBI_3010G259300;SORBI_3010G259600;SORBI_3010G204000;SORBI_3010G179900;SORBI_3007G203600;SORBI_3001G273200;SORBI_3001G277800;SORBI_3001G271600;SORBI_3001G201800;SORBI_3006G020200;SORBI_3006G020300;SORBI_3006G019700;SORBI_3006G247400;SORBI_3010G130500;SORBI_3010G011700;SORBI_3003G269700;SORBI_3005G226200;SORBI_3004G036100;SORBI_3004G036200;SORBI_3002G044800;SORBI_3002G044700;SORBI_3002G302400","1.180e-01;4.597e-02;9.484e-02;1.617e-02;8.245e-01;6.825e-01;7.698e-01;7.740e-01;5.408e-02;1.346e-01;1.434e-01;8.752e-01;5.416e-01;9.458e-01;6.457e-01;5.667e-01;4.625e-01;5.028e-01;3.623e-01;7.726e-01;8.505e-01;1.116e-01;7.812e-01;8.000e-01;8.489e-01;6.978e-04;9.141e-04;1.456e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"PWY-5147","oleate biosynthesis I (plants)",42,"mvn",0.0366100516436973,8.96637647630728e-05,1.06209561478998e-06,0.2,53.6719676294261,0.0685440588651124,0.000401717657636614,NA,5.23440470195924e-06,3.06586561114755e-05,NA,NA,3.99992000159997e-05,0.000227773222313332,NA,NA,NA,NA,NA,NA,3.99992000159997e-05,0.000227773222313332,0.000109711510770555,0.000328827539255162,0.000227773222313332,"SORBI_3006G272600;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G079500;SORBI_3008G051300;SORBI_3008G010800;SORBI_3005G054900;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G156100;SORBI_3009G031400;SORBI_3003G242000;SORBI_3003G303900;SORBI_3003G004900;SORBI_3003G258200;SORBI_3010G045500;SORBI_3010G045400;SORBI_3010G214900;SORBI_3010G180400;SORBI_3010G033300;SORBI_3004G088100;SORBI_3002G111500;SORBI_3002G256900;SORBI_3002G256800;SORBI_3006G171900;SORBI_3006G259300;SORBI_3004G293900;SORBI_3004G294000;SORBI_3004G293800;SORBI_3008G029200;SORBI_3003G337500;SORBI_3010G235300;SORBI_3003G377100;SORBI_3003G404000;SORBI_3004G157550;SORBI_3004G153300;SORBI_3007G071600;SORBI_3001G280700;SORBI_3001G265300;SORBI_3001G334501;SORBI_3006G048700;SORBI_3002G258500","6.886e-01;2.529e-01;5.844e-01;6.776e-02;8.521e-02;2.995e-01;2.082e-01;8.574e-02;3.864e-01;5.009e-01;8.271e-03;3.426e-02;5.541e-01;3.898e-01;8.515e-01;7.581e-01;3.346e-01;5.036e-01;3.307e-02;3.223e-01;7.426e-02;1.689e-03;2.366e-01;9.306e-02;4.161e-01;6.022e-01;1.344e-02;2.026e-02;9.359e-03;3.712e-01;5.324e-01;7.479e-01;2.638e-01;3.833e-01;7.029e-01;4.774e-01;2.835e-01;1.315e-02;5.752e-01;7.260e-01;4.535e-01;7.180e-01","tfisher_p_analytic",0.8,4,5,"Remains_significant"
