"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p","minp_p","tfisher_p","omni_p","FDR"
"PWY-282","cuticular wax biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-2841","cytokinins degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-2881","cytokinins 7-<i>N</i>-glucoside biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-2901","cytokinins 9-<i>N</i>-glucoside biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-2902","cytokinin-<i>O</i>-glucosides biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-2981","diterpene phytoalexins precursors biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3001","superpathway of L-isoleucine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3101","flavonol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3181","L-tryptophan degradation VI (via tryptamine)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-321","cutin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3261","UDP-&beta;-L-rhamnose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3341","L-proline biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3385","choline biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3461","L-tyrosine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3462","L-phenylalanine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3561","choline biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-361","phenylpropanoid biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3742","tetrahydrofolate biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3781","aerobic respiration I (cytochrome c)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-381","nitrate reduction II (assimilatory)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3821","D-galactose detoxification",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3841","folate transformations II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3881","mannitol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3941","&beta;-alanine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3981","&beta;-alanine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-3982","uracil degradation I (reductive)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4","UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-401","galactolipid biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4041","&gamma;-glutamyl cycle",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4081","glutathione-peroxide redox reactions",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4201","volatile cinnamoic ester biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4203","volatile benzenoid biosynthesis I (ester formation)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4261","glycerol degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-43","putrescine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4302","aerobic respiration III (alternative oxidase pathway)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4321","L-glutamate degradation IV",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4341","L-glutamate biosynthesis V",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4361","<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4381","fatty acid biosynthesis initiation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4541","lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-46","putrescine biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4661","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4821","UDP-&alpha;-D-xylose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4841","UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4861","UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-4984","urea cycle",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5027","phylloquinol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5032","<i>ent</i>-kaurene biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5034","GA<sub>12</sub> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5035","gibberellin biosynthesis III (early C-13 hydroxylation)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5041","<i>S</i>-adenosyl-L-methionine cycle II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5046","2-oxoisovalerate decarboxylation to isobutanoyl-CoA",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5048","rosmarinic acid biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5049","rosmarinic acid biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5059","pinobanksin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5063","phytyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5068","chlorophyll cycle",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5070","gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5080","very long chain fatty acid biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5083","NAD/NADH phosphorylation and dephosphorylation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5097","L-lysine biosynthesis VI",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5098","chlorophyll <i>a</i> degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5107","phytol salvage pathway",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5115","GDP-L-galactose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5116","sakuranetin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5120","geranylgeranyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5121","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5122","geranyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5123","<i>trans, trans</i>-farnesyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5125","anthocyanin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5129","sphingolipid biosynthesis (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5136","fatty acid &beta;-oxidation II (peroxisome)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5137","fatty acid &beta;-oxidation III (unsaturated, odd number)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5138","unsaturated, even numbered fatty acid &beta;-oxidation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5139","pelargonidin conjugates biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5142","acyl-[acyl-carrier protein] thioesterase pathway",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5143","long-chain fatty acid activation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5147","oleate biosynthesis I (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5148","acyl-CoA hydrolysis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5172","acetyl-CoA biosynthesis III (from citrate)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5173","superpathway of acetyl-CoA biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5176","coumarin biosynthesis (via 2-coumarate)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5188","tetrapyrrole biosynthesis I (from glutamate)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5194","siroheme biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5268","salvianin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5269","cardiolipin biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5284","shisonin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5326","sulfite oxidation IV",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5337","stachyose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5340","sulfate activation for sulfonation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5350","thiosulfate disproportionation IV (rhodanese)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5365","linear furanocoumarin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5398","crocetin esters biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5410","traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5434","(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5441","S-methyl-L-methionine cycle",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5453","methylglyoxal degradation III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5466","matairesinol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5481","pyruvate fermentation to (<i>S</i>)-lactate",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5486","pyruvate fermentation to ethanol II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5659","GDP-mannose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5667","CDP-diacylglycerol biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5669","phosphatidylserine and phosphatidylethanolamine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5670","epoxysqualene biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5686","UMP biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5687","pyrimidine ribonucleotides interconversion",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5690","TCA cycle II (plants and fungi)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5691","urate conversion to allantoin I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5692","allantoin degradation to glyoxylate II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5697","allantoin degradation to ureidoglycolate I (urea producing)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5698","allantoin degradation to ureidoglycolate II (ammonia producing)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5704","urea degradation II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5723","Rubisco shunt",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5745","costunolide biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5783","octaprenyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5800","xylan biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5805","nonaprenyl diphosphate biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5807","heptaprenyl diphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5810","usnate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5829","geraniol and geranial biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5837","2-carboxy-1,4-naphthoquinol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5859","eugenol and isoeugenol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5863","superpathway of phylloquinol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5864","superpathway of plastoquinol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5886","4-hydroxyphenylpyruvate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5905","hypusine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5910","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5912","2'-deoxymugineic acid phytosiderophore biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5921","glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5925","hydroxylated mugineic acid phytosiderophore biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5934","iron reduction and absorption",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5936","xyloglucan biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5943","&beta;-carotene biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5944","zeaxanthin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5945","violaxanthin, antheraxanthin and zeaxanthin interconversion",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5947","lutein biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5957","L-nicotianamine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5968","cinnamate esters biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5971","palmitate biosynthesis II (bacteria and plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5976","dhurrin degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5980","xylogalacturonan biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5987","sorgoleone biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
