"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p_analytic","minp_p_analytic","tfisher_p_analytic","omni_p_final","FDR","genes_used"
"PWY-6949","DIBOA-glucoside biosynthesis",39,1.23775002374788e-10,9.85094764945405e-10,0.00056865407221651,1.23774299992536e-10,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3010G249800;SORBI_3009G230400;SORBI_3001G030600;SORBI_3001G030500;SORBI_3001G030900;SORBI_3002G085200;SORBI_3002G085300;SORBI_3002G085700;SORBI_3002G085800;SORBI_3002G085100;SORBI_3002G088000;SORBI_3001G056400;SORBI_3001G056500;SORBI_3010G198000;SORBI_3007G032000;SORBI_3001G056601;SORBI_3002G054700;SORBI_3003G089600;SORBI_3007G034900;SORBI_3007G003900;SORBI_3007G003250;SORBI_3007G003600;SORBI_3007G003500;SORBI_3007G003700;SORBI_3007G003300;SORBI_3006G136500;SORBI_3010G230900;SORBI_3005G127000;SORBI_3005G206100;SORBI_3004G108800;SORBI_3007G092900;SORBI_3007G003400;SORBI_3007G093000;SORBI_3007G133766;SORBI_3001G369500;SORBI_3001G349900;SORBI_3006G044100;SORBI_3006G022900;SORBI_3006G043800"
"PWY-6963","ammonia assimilation cycle I",11,1.13963537779069e-11,4.31565256716153e-12,0.000143127215094827,1.1395999999941e-11,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3004G247000;SORBI_3001G231000;SORBI_3001G116400;SORBI_3001G451500;SORBI_3006G249400;SORBI_3010G060800;SORBI_3003G258800;SORBI_3009G225700;SORBI_3005G150250;SORBI_3004G209300;SORBI_3007G174600"
"PWY-7039","phosphatidate metabolism, as a signaling molecule",39,9.56469898526839e-07,7.07809261148197e-05,0.0323224574991635,9.56474554306697e-07,1.9328982858724e-13,9.99900009999e-05,0.000561587676848754,"SORBI_3009G027800;SORBI_3005G018900;SORBI_3005G002000;SORBI_3008G090600;SORBI_3008G002000;SORBI_3001G408001;SORBI_3002G430500;SORBI_3010G209900;SORBI_3010G185600;SORBI_3003G147000;SORBI_3003G050400;SORBI_3009G109925;SORBI_3009G062600;SORBI_3009G110000;SORBI_3005G222500;SORBI_3008G183400;SORBI_3004G016900;SORBI_3001G529800;SORBI_3001G349800;SORBI_3001G320200;SORBI_3002G098900;SORBI_3002G282500;SORBI_3002G204500;SORBI_3010G190300;SORBI_3003G265100;SORBI_3003G078700;SORBI_3009G221500;SORBI_3007G108500;SORBI_3002G165140;SORBI_3003G318700;SORBI_3008G140400;SORBI_3008G077600;SORBI_3004G324100;SORBI_3007G091400;SORBI_3007G062000;SORBI_3001G524300;SORBI_3001G333900;SORBI_3006G230400;SORBI_3002G250700"
"PWY-7176","UTP and CTP <i>de novo</i> biosynthesis",12,3.2347591545114e-08,9.63372185337355e-13,7.17922838852226e-08,3.75119993550562e-08,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3008G127100;SORBI_3009G239301;SORBI_3009G239500;SORBI_3003G017300;SORBI_3003G241000;SORBI_3003G221200;SORBI_3010G007500;SORBI_3003G439600;SORBI_3004G318100;SORBI_3007G223100;SORBI_3006G003300;SORBI_3006G065800"
"PWY-7185","UTP and CTP dephosphorylation I",26,7.00864753772645e-08,1.11366322311235e-08,0.00369531289315138,8.12759968241405e-08,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3002G420600;SORBI_3001G356200;SORBI_3001G385000;SORBI_3007G137900;SORBI_3008G022100;SORBI_3008G021900;SORBI_3005G085901;SORBI_3005G018300;SORBI_3005G099500;SORBI_3005G086000;SORBI_3005G018200;SORBI_3009G166600;SORBI_3002G072300;SORBI_3002G206800;SORBI_3001G153300;SORBI_3001G073500;SORBI_3001G125000;SORBI_3003G274200;SORBI_3003G113200;SORBI_3003G061200;SORBI_3008G127100;SORBI_3009G239301;SORBI_3009G239500;SORBI_3003G017300;SORBI_3003G241000;SORBI_3003G221200"
"PWY-7204","pyridoxal 5'-phosphate salvage II (plants)",12,0.0155384915810818,0.000428522942630493,0.0063013082206877,0.0205659579944753,5.29696021489556e-07,9.99900009999e-05,0.000561587676848754,"SORBI_3003G444200;SORBI_3004G098000;SORBI_3007G184200;SORBI_3001G125000;SORBI_3001G027300;SORBI_3001G422100;SORBI_3002G388400;SORBI_3001G193700;SORBI_3006G140700;SORBI_3002G030900;SORBI_3008G156300;SORBI_3001G532600"
"PWY-7252","luteolinidin 5-<i>O</i>-glucoside biosynthesis",31,0.00282249189175768,1.36335567344241e-08,5.79309605334906e-05,0.0042469283218217,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3010G022700;SORBI_3010G022850;SORBI_3010G048600;SORBI_3010G245701;SORBI_3010G048500;SORBI_3003G287800;SORBI_3003G287700;SORBI_3003G288000;SORBI_3003G287600;SORBI_3003G288100;SORBI_3003G293700;SORBI_3009G205600;SORBI_3009G205800;SORBI_3009G206400;SORBI_3009G206300;SORBI_3009G205900;SORBI_3009G206000;SORBI_3009G205700;SORBI_3008G149000;SORBI_3007G100700;SORBI_3007G027301;SORBI_3001G377200;SORBI_3006G124100;SORBI_3002G311501;SORBI_3002G311400;SORBI_3002G079801;SORBI_3002G311300;SORBI_3002G311700;SORBI_3002G312000;SORBI_3002G130200;SORBI_3002G337400"
"PWY-7253","apigeninidin 5-<i>O</i>-glucoside biosynthesis",31,0.00282249189175768,1.36335567344241e-08,5.79309605334906e-05,0.0042469283218217,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3010G022700;SORBI_3010G022850;SORBI_3010G048600;SORBI_3010G245701;SORBI_3010G048500;SORBI_3003G287800;SORBI_3003G287700;SORBI_3003G288000;SORBI_3003G287600;SORBI_3003G288100;SORBI_3003G293700;SORBI_3009G205600;SORBI_3009G205800;SORBI_3009G206400;SORBI_3009G206300;SORBI_3009G205900;SORBI_3009G206000;SORBI_3009G205700;SORBI_3008G149000;SORBI_3007G100700;SORBI_3007G027301;SORBI_3001G377200;SORBI_3006G124100;SORBI_3002G311501;SORBI_3002G311400;SORBI_3002G079801;SORBI_3002G311300;SORBI_3002G311700;SORBI_3002G312000;SORBI_3002G130200;SORBI_3002G337400"
"PWY-735","jasmonic acid biosynthesis",32,0.0188448032028093,7.29194682010973e-05,0.072476335171532,0.0333964248459242,4.19704604404103e-10,9.99900009999e-05,0.000561587676848754,"SORBI_3010G049100;SORBI_3010G001900;SORBI_3003G391600;SORBI_3004G350600;SORBI_3001G189300;SORBI_3001G516600;SORBI_3001G500800;SORBI_3001G282800;SORBI_3002G158900;SORBI_3002G171001;SORBI_3004G078600;SORBI_3007G210400;SORBI_3001G483400;SORBI_3006G095600;SORBI_3004G093200;SORBI_3001G077400;SORBI_3001G449700;SORBI_3010G084600;SORBI_3010G084100;SORBI_3010G084700;SORBI_3010G084400;SORBI_3010G084300;SORBI_3009G003600;SORBI_3008G164450;SORBI_3008G079600;SORBI_3004G180500;SORBI_3007G151100;SORBI_3006G091900;SORBI_3006G091600;SORBI_3006G091800;SORBI_3006G091700;SORBI_3001G329800"
"PWY-7411","phosphatidate biosynthesis (yeast)",32,0.0137647635826996,8.38478726058786e-05,0.000909467344128441,0.0187482591861378,6.28815329806187e-08,9.99900009999e-05,0.000561587676848754,"SORBI_3003G326800;SORBI_3003G420800;SORBI_3003G443400;SORBI_3009G183300;SORBI_3007G223801;SORBI_3001G247500;SORBI_3002G081500;SORBI_3008G187200;SORBI_3002G267500;SORBI_3006G221500;SORBI_3001G206000;SORBI_3008G112100;SORBI_3005G197100;SORBI_3009G015800;SORBI_3009G188900;SORBI_3003G317500;SORBI_3002G325300;SORBI_3006G041266;SORBI_3001G493300;SORBI_3001G026100;SORBI_3001G283700;SORBI_3001G250200;SORBI_3001G099300;SORBI_3008G130800;SORBI_3005G214400;SORBI_3009G202600;SORBI_3009G162000;SORBI_3009G157000;SORBI_3003G114200;SORBI_3003G360700;SORBI_3003G229700;SORBI_3003G142500"
