# MEAN_SAMPLE_SIZE = 357
# TOTAL_GENES = 33967
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
PWY-2981                              SET       6     0.041233   0.00054798      0.26126       0.4373 PWY-2981
PWY-3001                              SET       6   -0.0017748  -2.3587e-05      0.25988      0.50272 PWY-3001
PWY-3101                              SET      33    -0.054691   -0.0017039      0.12699      0.66665 PWY-3101
PWY-3181                              SET      10      -0.1364     -0.00234      0.21336      0.73868 PWY-3181
PWY-321                               SET      56     -0.11406   -0.0046276     0.090512      0.89619 PWY-321
PWY-3261                              SET       4      0.21328    0.0023143      0.34931      0.27075 PWY-3261
PWY-3341                              SET       5     -0.29856   -0.0036222      0.26103      0.87364 PWY-3341
PWY-3385                              SET      12     0.011307   0.00021249       0.1751      0.47426 PWY-3385
PWY-3461                              SET       4      0.23556    0.0025561      0.29898      0.21539 PWY-3461
PWY-3462                              SET       6      0.29609     0.003935       0.2752      0.14099 PWY-3462
PWY-3561                              SET      22    -0.059055   -0.0015025      0.12753      0.67834 PWY-3561
PWY-361                               SET      58    -0.031989   -0.0013208     0.087066      0.64334 PWY-361
PWY-3742                              SET      20     0.027328   0.00066293      0.15438      0.42975 PWY-3742
PWY-3781                              SET     298    -0.043416   -0.0040487     0.039182      0.86608 PWY-3781
PWY-381                               SET       9     0.042682   0.00069468      0.18201       0.4073 PWY-381
PWY-3821                              SET       7      0.84992       0.0122      0.27264   0.00091328 PWY-3821
PWY-3841                              SET      13      0.12073    0.0023614      0.20036       0.2734 PWY-3841
PWY-3881                              SET      11      0.35137    0.0063222       0.2127     0.049279 PWY-3881
PWY-3981                              SET      10      0.46512    0.0079796       0.2234     0.018674 PWY-3981
PWY-3982                              SET       3    -0.084615  -0.00079518      0.43219      0.57761 PWY-3982
PWY-401                               SET       8     -0.18696    -0.002869      0.23377      0.78807 PWY-401
PWY-4041                              SET       3    -0.015468  -0.00014536      0.32114      0.51921 PWY-4041
PWY-4081                              SET      11     -0.15184   -0.0027321      0.20591      0.76956 PWY-4081
PWY-4201                              SET       4      0.14309    0.0015528      0.51534      0.39063 PWY-4201
PWY-4203                              SET      28     -0.20277   -0.0058195      0.14059      0.92539 PWY-4203
PWY-4261                              SET       4     -0.46346   -0.0050292      0.39543      0.87941 PWY-4261
PWY-43                                SET       4     -0.16692   -0.0018113      0.38525      0.66759 PWY-43
PWY-4302                              SET      62    -0.048845    -0.002085     0.088732        0.709 PWY-4302
PWY-4321                              SET      10       -0.175   -0.0030022      0.19488      0.81539 PWY-4321
PWY-4361                              SET      11       0.2915    0.0052449      0.22773      0.10028 PWY-4361
PWY-4381                              SET       2     -0.38345   -0.0029423       0.5133      0.77248 PWY-4381
PWY-4541                              SET       2       1.1476    0.0088058        0.503     0.011263 PWY-4541
PWY-46                                SET       6      0.98705     0.013118      0.32284    0.0011174 PWY-46
PWY-4661                              SET      10    -0.064571   -0.0011078      0.21556      0.61774 PWY-4661
PWY-4821                              SET      11    -0.051208  -0.00092139      0.17962      0.61221 PWY-4821
PWY-4841                              SET       3     -0.17624   -0.0016563      0.39855      0.67083 PWY-4841
PWY-4861                              SET       5     0.022141   0.00026862      0.26649      0.46689 PWY-4861
PWY-4984                              SET       8     0.063515   0.00097465      0.24229      0.39661 PWY-4984
PWY-5027                              SET       4      -0.1432   -0.0015539      0.45038      0.62474 PWY-5027
PWY-5032                              SET       3      0.13482     0.001267      0.34183      0.34664 PWY-5032
PWY-5034                              SET       4    -0.098397   -0.0010677       0.3082      0.62523 PWY-5034
PWY-5035                              SET      10     -0.17875   -0.0030667      0.23467      0.77689 PWY-5035
PWY-5041                              SET       6       0.2425    0.0032227      0.26764      0.18246 PWY-5041
PWY-5046                              SET       9    -0.048092  -0.00078273      0.22331      0.58526 PWY-5046
PWY-5048                              SET      25     0.027911   0.00075695      0.13498      0.41809 PWY-5048
PWY-5059                              SET      20     0.061587     0.001494      0.14823      0.33889 PWY-5059
PWY-5063                              SET       2     0.019329   0.00014831      0.36033      0.47861 PWY-5063
PWY-5068                              SET       7     -0.55963   -0.0080331        0.233      0.99184 PWY-5068
PWY-5070                              SET       6    -0.071748  -0.00095351      0.27262      0.60379 PWY-5070
