"pathway_id","pathway_name","n_genes","gene_names","gene_pvals","magma_pvalue"
"PWY0-662","PRPP biosynthesis",5,"SORBI_3001G544600;SORBI_3003G281200;SORBI_3004G025800;SORBI_3004G261500;SORBI_3010G193600","2.2858e-01;3.7377e-01;7.1754e-01;2.4345e-03;4.3827e-01",0.025936
"PWY-5194","siroheme biosynthesis",2,"SORBI_3003G229600;SORBI_3004G131800","8.0593e-02;6.3049e-02",0.045479
"PWY-3881","mannitol biosynthesis",11,"SORBI_3001G202000;SORBI_3001G292000;SORBI_3002G100900;SORBI_3003G087900;SORBI_3003G211500;SORBI_3003G290200;SORBI_3004G021300;SORBI_3005G123200;SORBI_3005G176100;SORBI_3010G007200;SORBI_3010G007300","1.1599e-01;3.1049e-01;7.6052e-01;9.6041e-03;6.0710e-01;5.0337e-01;5.8529e-01;1.2028e-01;4.4454e-01;4.1883e-01;7.8639e-01",0.049279
"PWY-6605","adenine and adenosine salvage II",8,"SORBI_3002G134400;SORBI_3004G214000;SORBI_3006G138800;SORBI_3007G072400;SORBI_3008G147900;SORBI_3009G133800;SORBI_3009G133900;SORBI_3009G134300","7.6468e-01;6.6467e-01;3.0067e-01;3.8548e-01;1.2603e-01;5.2925e-02;4.8556e-02;2.2937e-01",0.05198
"PWY-1042","glycolysis IV (plant cytosol)",60,"SORBI_3001G052500;SORBI_3001G057200;SORBI_3001G140700;SORBI_3001G236800;SORBI_3001G253300;SORBI_3001G290600;SORBI_3001G384100;SORBI_3001G386900;SORBI_3001G426100;SORBI_3002G026300;SORBI_3002G054400;SORBI_3002G156750;SORBI_3002G160300;SORBI_3002G186900;SORBI_3002G201700;SORBI_3002G277100;SORBI_3003G034700;SORBI_3003G072300;SORBI_3003G096000;SORBI_3003G105000;SORBI_3003G130800;SORBI_3003G244700;SORBI_3003G290000;SORBI_3003G336000;SORBI_3003G352300;SORBI_3003G393900;SORBI_3004G055200;SORBI_3004G056400;SORBI_3004G146000;SORBI_3004G205100;SORBI_3004G261800;SORBI_3005G034400;SORBI_3005G056400;SORBI_3005G101400;SORBI_3005G159000;SORBI_3006G074800;SORBI_3006G114700;SORBI_3006G267200;SORBI_3007G025400;SORBI_3007G101800;SORBI_3007G139500;SORBI_3007G140700;SORBI_3008G033600;SORBI_3008G053200;SORBI_3008G116600;SORBI_3009G016700;SORBI_3009G071800;SORBI_3009G183700;SORBI_3009G204601;SORBI_3010G026925;SORBI_3010G027000;SORBI_3010G041400;SORBI_3010G100200;SORBI_3010G101600;SORBI_3010G134000;SORBI_3010G188300;SORBI_3010G221800;SORBI_3010G262433;SORBI_3010G262466;SORBI_3010G262500","8.0864e-01;3.3121e-01;1.0886e-01;9.1355e-03;1.1284e-01;2.3490e-01;1.0031e-01;2.5119e-01;7.6963e-01;9.0130e-02;3.5799e-01;4.0390e-02;2.3698e-01;7.4310e-01;1.6772e-01;5.5190e-01;6.0009e-01;5.5333e-02;6.6015e-01;4.0004e-01;6.6422e-01;7.2005e-01;2.4715e-01;3.0090e-01;8.3862e-01;5.9231e-01;6.0467e-01;5.9927e-01;4.0051e-01;3.3817e-01;4.2838e-03;6.8297e-01;9.0843e-01;8.6506e-01;6.3636e-01;3.5284e-03;8.4138e-01;5.8904e-01;8.3006e-01;6.7004e-01;1.2138e-01;1.4405e-01;9.1453e-01;1.8855e-01;5.0936e-01;7.8576e-01;1.2960e-01;6.1363e-02;5.6411e-01;7.7103e-01;8.4948e-01;6.6665e-02;6.5632e-01;6.8183e-01;5.0786e-01;5.3703e-01;6.8791e-01;9.5645e-01;9.6941e-01;7.9998e-01",0.057805
"PWY-6333","acetaldehyde biosynthesis I",11,"SORBI_3001G097600;SORBI_3001G263900;SORBI_3001G264000;SORBI_3001G475800;SORBI_3001G475900;SORBI_3002G379100;SORBI_3002G379200;SORBI_3004G226500;SORBI_3004G343200;SORBI_3005G103300;SORBI_3005G103500","1.4925e-01;8.3420e-02;1.2653e-01;6.5706e-01;6.6087e-01;3.6903e-09;2.3443e-09;9.9840e-02;9.1042e-02;4.3804e-01;5.8883e-01",0.061081
"PWY-6066","IAA biosynthesis VII",3,"SORBI_3002G111200;SORBI_3002G415900;SORBI_3009G219500","6.1255e-03;3.5665e-01;4.4624e-09",0.062408
"PWY-6752","<i>o</i>-diquinones biosynthesis",8,"SORBI_3003G310400;SORBI_3003G322100;SORBI_3006G181300;SORBI_3006G181400;SORBI_3007G068300;SORBI_3007G068500;SORBI_3007G068700;SORBI_3010G192700","1.5056e-01;7.6248e-01;7.0190e-01;6.3109e-01;4.4833e-01;2.4657e-01;5.8145e-01;5.9083e-02",0.068211
"PWY-2161B-PMN","folate polyglutamylation II",5,"SORBI_3001G201900;SORBI_3001G535500;SORBI_3009G199001;SORBI_3009G199100;SORBI_3009G199200","5.4386e-02;2.5142e-01;1.2994e-03;6.2066e-04;6.3858e-04",0.077819
"PWY-6163","chorismate biosynthesis from 3-dehydroquinate",7,"SORBI_3001G433700;SORBI_3003G169900;SORBI_3004G236300;SORBI_3006G235500;SORBI_3008G116000;SORBI_3008G116100;SORBI_3010G023800","1.6464e-01;2.7254e-01;6.3156e-01;2.5576e-02;9.7117e-02;1.9248e-01;5.1952e-01",0.077997
"PWY-7528","L-methionine salvage cycle I (bacteria and plants)",3,"SORBI_3003G140000;SORBI_3003G151600;SORBI_3009G033600","4.1804e-01;2.3436e-02;1.3580e-02",0.079507
"SAM-PWY","S-adenosyl-L-methionine biosynthesis",3,"SORBI_3003G140000;SORBI_3003G151600;SORBI_3009G033600","4.1804e-01;2.3436e-02;1.3580e-02",0.079507
"METHIONINE-DEG1-PWY","L-methionine degradation I (to L-homocysteine)",4,"SORBI_3003G140000;SORBI_3003G151600;SORBI_3005G112800;SORBI_3009G033600","4.1804e-01;2.3436e-02;2.5264e-01;1.3580e-02",0.092252
"PWY0-1264","biotin-carboxyl carrier protein assembly",5,"SORBI_3001G262400;SORBI_3004G052900;SORBI_3006G030100;SORBI_3006G233900;SORBI_3008G114300","3.0664e-01;6.0027e-01;1.8362e-02;6.8031e-01;7.4929e-01",0.094056
"PWY-6837","fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",7,"SORBI_3003G024900;SORBI_3003G025000;SORBI_3003G158300;SORBI_3003G409400;SORBI_3004G124200;SORBI_3009G111400;SORBI_3009G207100","9.4535e-01;9.4368e-01;5.1021e-01;4.5600e-01;1.5455e-01;1.6806e-02;1.8464e-03",0.094582
"PWY-5137","fatty acid &beta;-oxidation III (unsaturated, odd number)",6,"SORBI_3003G024900;SORBI_3003G025000;SORBI_3003G158300;SORBI_3004G124200;SORBI_3009G111400;SORBI_3009G207100","9.4535e-01;9.4368e-01;5.1021e-01;1.5455e-01;1.6806e-02;1.8464e-03",0.10018
"PWY-4361","<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",11,"SORBI_3001G215300;SORBI_3001G243100;SORBI_3001G243200;SORBI_3001G485500;SORBI_3001G485800;SORBI_3001G496300;SORBI_3002G223500;SORBI_3003G108800;SORBI_3005G100800;SORBI_3005G110541;SORBI_3010G077400","9.5508e-01;1.5209e-01;2.2323e-01;5.5753e-01;1.4811e-03;3.2648e-01;3.2945e-01;8.1963e-01;4.0306e-01;4.9903e-01;4.7148e-01",0.10028
"PWY-7204","pyridoxal 5'-phosphate salvage II (plants)",12,"SORBI_3001G027300;SORBI_3001G125000;SORBI_3001G193700;SORBI_3001G422100;SORBI_3001G532600;SORBI_3002G030900;SORBI_3002G388400;SORBI_3003G444200;SORBI_3004G098000;SORBI_3006G140700;SORBI_3007G184200;SORBI_3008G156300","2.0739e-01;1.9769e-02;6.6992e-01;7.7296e-01;4.9059e-01;2.3548e-01;1.0055e-02;1.3994e-01;6.6920e-01;1.7302e-03;1.4436e-01;3.2868e-02",0.10066
"PWY-1269","CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis",3,"SORBI_3004G047400;SORBI_3008G075200;SORBI_3009G231100","9.4191e-01;1.9616e-01;8.9936e-14",0.11425
"PWY-6498","eumelanin biosynthesis",3,"SORBI_3005G005500;SORBI_3008G006200;SORBI_3010G249600","5.1940e-01;3.7845e-01;3.2885e-01",0.11441
"PWY-84","resveratrol biosynthesis",2,"SORBI_3002G115700;SORBI_3005G134301","5.2787e-02;4.8842e-01",0.1164
"PWY-5976","dhurrin degradation",9,"SORBI_3004G335500;SORBI_3005G186500;SORBI_3005G186600;SORBI_3005G186700;SORBI_3005G186800;SORBI_3008G079800;SORBI_3008G080100;SORBI_3008G080400;SORBI_3008G080600","4.1785e-01;6.3287e-01;7.2729e-01;7.3201e-01;5.3057e-01;1.1923e-01;3.2000e-01;8.1397e-01;6.0300e-01",0.11916
"PWY-1422","vitamin E biosynthesis (tocopherols)",13,"SORBI_3002G104200;SORBI_3002G105600;SORBI_3002G351600;SORBI_3003G320000;SORBI_3004G053700;SORBI_3004G125800;SORBI_3004G269800;SORBI_3005G190800;SORBI_3006G183500;SORBI_3008G022000;SORBI_3008G171000;SORBI_3008G171300;SORBI_3010G215600","1.1729e-02;2.1948e-01;2.9097e-01;5.3931e-02;9.7736e-03;1.9483e-01;1.2802e-01;9.9290e-01;3.3689e-01;4.3170e-01;1.8942e-01;1.8309e-01;1.4367e-01",0.12145
"CYSTSYN-PWY","L-cysteine biosynthesis I",15,"SORBI_3001G455600;SORBI_3001G470000;SORBI_3001G514800;SORBI_3003G110100;SORBI_3003G279500;SORBI_3003G333700;SORBI_3004G095700;SORBI_3006G077900;SORBI_3008G179900;SORBI_3009G209200;SORBI_3010G039100;SORBI_3010G039200;SORBI_3010G039300;SORBI_3010G039401;SORBI_3010G041201","5.8441e-01;4.4306e-01;8.0507e-02;5.0634e-01;6.4586e-01;7.1038e-01;3.6957e-01;5.6480e-01;3.5314e-01;1.1004e-03;1.5801e-01;1.3863e-01;2.4528e-01;4.2253e-01;7.2671e-02",0.12294
"PWY-2161","folate polyglutamylation",7,"SORBI_3001G097100;SORBI_3001G201900;SORBI_3001G535500;SORBI_3002G220200;SORBI_3003G373600;SORBI_3005G113300;SORBI_3008G144800","4.1485e-01;5.4386e-02;2.5142e-01;6.8491e-01;9.2707e-02;3.4948e-01;1.9795e-01",0.1237
"PWY-2902","cytokinin-<i>O</i>-glucosides biosynthesis",31,"SORBI_3001G164900;SORBI_3001G236400;SORBI_3001G505800;SORBI_3001G505900;SORBI_3002G379700;SORBI_3002G405000;SORBI_3003G047500;SORBI_3003G047600;SORBI_3003G047700;SORBI_3003G047800;SORBI_3003G088450;SORBI_3003G095000;SORBI_3004G087100;SORBI_3004G087200;SORBI_3006G048000;SORBI_3006G123700;SORBI_3006G139900;SORBI_3006G151600;SORBI_3006G174000;SORBI_3006G174300;SORBI_3006G174400;SORBI_3006G174500;SORBI_3006G174600;SORBI_3006G268100;SORBI_3007G028200;SORBI_3009G064300;SORBI_3009G064500;SORBI_3009G211800;SORBI_3010G081600;SORBI_3010G091100;SORBI_3010G238400","1.4109e-01;1.9825e-01;3.7569e-01;2.8410e-01;1.5284e-02;7.8660e-01;8.2562e-01;8.3258e-01;1.9385e-01;1.4896e-01;3.5644e-01;4.6839e-01;2.8169e-01;2.5902e-01;3.8829e-01;1.2507e-01;1.0365e-01;1.7458e-01;3.9965e-01;5.2326e-01;5.1666e-01;5.2315e-01;9.2018e-02;2.6738e-01;7.1290e-01;2.1565e-01;6.4250e-02;1.8772e-03;5.6903e-01;1.9768e-01;5.3053e-01",0.12583
"PWY-5686","UMP biosynthesis I",11,"SORBI_3001G327500;SORBI_3002G413750;SORBI_3003G193700;SORBI_3003G294100;SORBI_3003G427200;SORBI_3003G427300;SORBI_3004G265900;SORBI_3006G194150;SORBI_3006G266200;SORBI_3007G092200;SORBI_3007G104300","4.3830e-01;4.2390e-03;4.3081e-02;2.2088e-01;7.4723e-01;7.5769e-01;5.4553e-01;2.0490e-02;4.6778e-01;4.8180e-01;7.9050e-01",0.12993
"PWY-6554","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",8,"SORBI_3001G106900;SORBI_3001G278700;SORBI_3001G286100;SORBI_3001G447200;SORBI_3002G266300;SORBI_3004G141100;SORBI_3004G160800;SORBI_3006G251500","2.4048e-02;1.1437e-02;2.2628e-01;8.3501e-01;9.0275e-01;1.4417e-01;6.4494e-02;1.7848e-02",0.13643
"PWY-3462","L-phenylalanine biosynthesis II",6,"SORBI_3001G320700;SORBI_3002G133100;SORBI_3003G306100;SORBI_3004G065500;SORBI_3006G066200;SORBI_3007G141500","8.1914e-01;6.5667e-01;7.5901e-01;1.8852e-01;1.5423e-04;5.3716e-01",0.14099
"PWY-6290","&beta;-cubebene biosynthesis",2,"SORBI_3002G065500;SORBI_3005G130500","1.7930e-02;4.2941e-01",0.14228
"PWY-1061","homogalacturonan biosynthesis",25,"SORBI_3001G131900;SORBI_3001G138200;SORBI_3001G338400;SORBI_3001G364700;SORBI_3001G384200;SORBI_3001G460000;SORBI_3002G241100;SORBI_3002G274700;SORBI_3002G398400;SORBI_3002G420100;SORBI_3003G282600;SORBI_3004G151400;SORBI_3004G237800;SORBI_3004G244100;SORBI_3004G336401;SORBI_3005G169500;SORBI_3006G157800;SORBI_3006G232000;SORBI_3007G105700;SORBI_3008G022500;SORBI_3008G141800;SORBI_3009G177200;SORBI_3010G092400;SORBI_3010G101400;SORBI_3010G274800","8.1577e-01;9.1659e-01;9.2419e-01;1.0163e-01;3.8572e-01;7.2201e-01;4.0569e-01;1.1233e-01;1.3605e-01;7.3880e-01;3.8149e-01;8.6738e-01;7.2991e-02;7.6516e-01;3.4260e-01;4.8703e-01;3.5499e-01;7.6333e-01;9.7532e-01;3.6254e-01;1.3282e-01;9.0379e-02;5.5757e-01;1.2955e-01;7.1801e-01",0.14294
"PWY-181","photorespiration",20,"SORBI_3001G007000;SORBI_3001G097100;SORBI_3002G006600;SORBI_3002G032900;SORBI_3003G259200;SORBI_3003G373600;SORBI_3004G001300;SORBI_3004G055700;SORBI_3005G113300;SORBI_3006G004600;SORBI_3006G004700;SORBI_3006G004900;SORBI_3006G005200;SORBI_3006G005300;SORBI_3006G014000;SORBI_3006G130300;SORBI_3007G056300;SORBI_3007G213700;SORBI_3008G144800;SORBI_3009G004100","7.3714e-01;4.1485e-01;6.5857e-01;4.7252e-01;4.8847e-01;9.2707e-02;5.3493e-01;4.1649e-01;3.4948e-01;3.5672e-01;1.5528e-02;7.2037e-02;3.7341e-01;5.8846e-01;6.7530e-01;5.4507e-01;4.2414e-01;1.9916e-01;1.9795e-01;8.2985e-01",0.14561
"GLYSYN-ALA-PWY","glycine biosynthesis III",5,"SORBI_3001G379000;SORBI_3001G488200;SORBI_3002G006600;SORBI_3007G213700;SORBI_3009G172500","6.7851e-03;1.8423e-01;6.5857e-01;1.9916e-01;2.4585e-01",0.14681
"PWY-5945","violaxanthin, antheraxanthin and zeaxanthin interconversion",7,"SORBI_3003G277400;SORBI_3004G213100;SORBI_3006G049200;SORBI_3006G097500;SORBI_3006G222700;SORBI_3007G140200;SORBI_3008G021300","1.7807e-01;6.7279e-01;2.6159e-01;1.2225e-01;5.2458e-01;7.6437e-02;7.1139e-01",0.15079
"PWY-6468","&omega;- hydroxylation of laurate",2,"SORBI_3001G514700;SORBI_3009G019301","6.5342e-02;4.5525e-01",0.15173
"PWY-5136","fatty acid &beta;-oxidation II (peroxisome)",15,"SORBI_3001G230100;SORBI_3003G061800;SORBI_3003G158300;SORBI_3003G324000;SORBI_3003G354400;SORBI_3004G124200;SORBI_3004G297400;SORBI_3004G345800;SORBI_3005G181000;SORBI_3006G012800;SORBI_3009G057200;SORBI_3009G057300;SORBI_3009G111400;SORBI_3010G001900;SORBI_3010G049100","7.8521e-01;4.7364e-01;5.1021e-01;8.0425e-01;5.5689e-01;1.5455e-01;6.7656e-01;8.9380e-01;3.7752e-02;6.8064e-01;5.9548e-01;6.5486e-01;1.6806e-02;5.2513e-01;2.8439e-03",0.15474
"PWY-6014","vernolate biosynthesis I",12,"SORBI_3001G195100;SORBI_3001G195200;SORBI_3001G195500;SORBI_3001G270200;SORBI_3002G348900;SORBI_3003G076700;SORBI_3003G076800;SORBI_3003G413800;SORBI_3004G006100;SORBI_3006G066400;SORBI_3010G197700;SORBI_3010G231600","6.2733e-01;6.3251e-01;8.5055e-01;1.2059e-01;7.6322e-01;3.4771e-01;8.3393e-01;4.5077e-02;7.3312e-01;2.9156e-04;1.3830e-01;7.5375e-01",0.15495
"PWY-6710","poly-hydroxy fatty acids biosynthesis",12,"SORBI_3001G195100;SORBI_3001G195200;SORBI_3001G195500;SORBI_3001G270200;SORBI_3002G348900;SORBI_3003G076700;SORBI_3003G076800;SORBI_3003G413800;SORBI_3004G006100;SORBI_3006G066400;SORBI_3010G197700;SORBI_3010G231600","6.2733e-01;6.3251e-01;8.5055e-01;1.2059e-01;7.6322e-01;3.4771e-01;8.3393e-01;4.5077e-02;7.3312e-01;2.9156e-04;1.3830e-01;7.5375e-01",0.15495
"PWY-7634","vernolate biosynthesis II",12,"SORBI_3001G195100;SORBI_3001G195200;SORBI_3001G195500;SORBI_3001G270200;SORBI_3002G348900;SORBI_3003G076700;SORBI_3003G076800;SORBI_3003G413800;SORBI_3004G006100;SORBI_3006G066400;SORBI_3010G197700;SORBI_3010G231600","6.2733e-01;6.3251e-01;8.5055e-01;1.2059e-01;7.6322e-01;3.4771e-01;8.3393e-01;4.5077e-02;7.3312e-01;2.9156e-04;1.3830e-01;7.5375e-01",0.15495
"PWY-5905","hypusine biosynthesis",4,"SORBI_3001G096300;SORBI_3004G349000;SORBI_3006G046500;SORBI_3007G019200","1.9391e-01;9.5205e-01;5.8306e-03;1.1049e-02",0.16337
"PWY-735","jasmonic acid biosynthesis",32,"SORBI_3001G077400;SORBI_3001G189300;SORBI_3001G282800;SORBI_3001G329800;SORBI_3001G449700;SORBI_3001G483400;SORBI_3001G500800;SORBI_3001G516600;SORBI_3002G158900;SORBI_3002G171001;SORBI_3003G391600;SORBI_3004G078600;SORBI_3004G093200;SORBI_3004G180500;SORBI_3004G350600;SORBI_3006G091600;SORBI_3006G091700;SORBI_3006G091800;SORBI_3006G091900;SORBI_3006G095600;SORBI_3007G151100;SORBI_3007G210400;SORBI_3008G079600;SORBI_3008G164450;SORBI_3009G003600;SORBI_3010G001900;SORBI_3010G049100;SORBI_3010G084100;SORBI_3010G084300;SORBI_3010G084400;SORBI_3010G084600;SORBI_3010G084700","4.7888e-01;8.5041e-01;4.3355e-01;5.6473e-01;8.1002e-01;2.2184e-02;1.0609e-03;1.6524e-01;2.8723e-02;4.9622e-01;3.0892e-01;9.1551e-01;1.4952e-02;1.1180e-02;5.4953e-01;4.2836e-01;3.1239e-02;1.7019e-02;1.1964e-02;9.0433e-02;7.5003e-01;2.5355e-01;4.2500e-01;6.4869e-01;4.1340e-01;5.2513e-01;2.8439e-03;4.5859e-01;6.3782e-01;5.9853e-01;5.4176e-01;6.8309e-01",0.17524
"PWY-7411","phosphatidate biosynthesis (yeast)",32,"SORBI_3001G026100;SORBI_3001G099300;SORBI_3001G206000;SORBI_3001G247500;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G493300;SORBI_3002G081500;SORBI_3002G267500;SORBI_3002G325300;SORBI_3003G114200;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G317500;SORBI_3003G326800;SORBI_3003G360700;SORBI_3003G420800;SORBI_3003G443400;SORBI_3005G197100;SORBI_3005G214400;SORBI_3006G041266;SORBI_3006G221500;SORBI_3007G223801;SORBI_3008G112100;SORBI_3008G130800;SORBI_3008G187200;SORBI_3009G015800;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G183300;SORBI_3009G188900;SORBI_3009G202600","2.3687e-01;3.5257e-01;1.5080e-01;8.4200e-01;4.8248e-01;3.3978e-01;3.3176e-01;3.0293e-01;4.3883e-01;6.8405e-01;1.6733e-02;1.8586e-01;7.5373e-01;3.6203e-01;6.9222e-01;6.8265e-01;2.4545e-01;2.3111e-01;4.7371e-03;5.3470e-01;5.7001e-01;3.0738e-01;1.5168e-01;7.7946e-01;6.3628e-03;6.3359e-01;7.0366e-01;1.4101e-01;1.1228e-02;2.7787e-02;1.7381e-02;5.9127e-04",0.17533
"PWY-6120","L-tyrosine biosynthesis III",5,"SORBI_3003G306100;SORBI_3004G065500;SORBI_3007G141500;SORBI_3010G258500;SORBI_3010G258700","7.5901e-01;1.8852e-01;5.3716e-01;3.8541e-01;1.8137e-01",0.1776
"VALSYN-PWY","L-valine biosynthesis",6,"SORBI_3003G239900;SORBI_3004G155800;SORBI_3004G210000;SORBI_3005G082200;SORBI_3007G167800;SORBI_3009G239900","2.9784e-01;3.4913e-02;2.4157e-01;4.7717e-01;1.7474e-01;1.1486e-07",0.18232
