"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3006G186600",6.1907e-05,3.9032,1,2.14170980753473e-14,19,"PWY-5097",6.1907e-05,472,472,FALSE,FALSE,TRUE,1,5.08115432265359
"SORBI_3009G235700",7.4644e-10,6.4714,0,NA,NA,NA,7.4644e-10,98,98,TRUE,TRUE,FALSE,2,5.07966223108159
"SORBI_3004G312000",0.081507,1.1234,1,5.95944405557204e-35,1,"PWY-3781",0.081507,5069,5069,FALSE,FALSE,TRUE,1,5.07474922530177
"SORBI_3009G255300",7.6972e-10,5.6409,0,NA,NA,NA,7.6972e-10,99,99,TRUE,TRUE,FALSE,2,5.07084399327148
"SORBI_3009G206000",0.0010942,3.6704,2,3.74364284205717e-19,7,"PWY-7252; PWY-7253",0.0010942,826,826,FALSE,FALSE,TRUE,1,5.07082484695817
"SORBI_3009G239250",8.4688e-10,6.2131,0,NA,NA,NA,8.4688e-10,100,100,TRUE,TRUE,FALSE,2,5.06211438246658
"SORBI_3003G142400",0.084116,0.73493,1,5.95944405557204e-35,1,"PWY-3781",0.084116,5157,5157,FALSE,FALSE,TRUE,1,5.05979954493515
"SORBI_3009G220500",8.8988e-10,6.4355,0,NA,NA,NA,8.8988e-10,101,101,TRUE,TRUE,FALSE,2,5.05347163490129
"SORBI_3003G265400",0.01062,1.7561,1,4.44913711544666e-26,4,"HOMOSER-THRESYN-PWY",0.01062,1877,1877,FALSE,FALSE,TRUE,1,5.0503582582008
"SORBI_3006G089900",0.086381,1.4072,1,5.95944405557204e-35,1,"PWY-3781",0.086381,5239,5239,FALSE,FALSE,TRUE,1,5.04609701085268
"SORBI_3009G233300",9.2865e-10,5.9945,0,NA,NA,NA,9.2865e-10,102,102,TRUE,TRUE,FALSE,2,5.04491403894274
"SORBI_3009G236900",9.4539e-10,5.0704,0,NA,NA,NA,9.4539e-10,103,103,TRUE,TRUE,FALSE,2,5.03643993305623
