# MEAN_SAMPLE_SIZE = 3107
# TOTAL_GENES = 34873
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
PWY-6124                              SET      10      0.19251    0.0032596      0.28572      0.25023 PWY-6124
PWY-6144                              SET       2        1.078    0.0081634       1.5077      0.23731 PWY-6144
PWY-6147                              SET       5     0.023992   0.00028727      0.38284      0.47502 PWY-6147
PWY-6163                              SET       8    -0.029281  -0.00044345      0.39879      0.52927 PWY-6163
PWY-6164                              SET      10     0.026889   0.00045528      0.32394      0.46692 PWY-6164
PWY-621                               SET      16     0.052166    0.0011171      0.26992      0.42338 PWY-621
PWY-6235                              SET       2       1.1032    0.0083543      0.83178     0.092379 PWY-6235
PWY-6237                              SET       2      0.34527    0.0026147      0.86403      0.34473 PWY-6237
PWY-6275                              SET       9      0.19062     0.003062      0.34171      0.28847 PWY-6275
PWY-6291                              SET       2      -1.0441   -0.0079066      0.69401      0.93375 PWY-6291
PWY-63                                SET       4     0.095673    0.0010246      0.45169      0.41613 PWY-63
PWY-6333                              SET       9     -0.11287    -0.001813      0.25849      0.66881 PWY-6333
PWY-6348                              SET      29      0.13227    0.0038129      0.24966      0.29812 PWY-6348
PWY-6352                              SET      66    -0.065105   -0.0028297      0.12966      0.69221 PWY-6352
PWY-6363                              SET       6      0.10092    0.0013236      0.56546      0.42918 PWY-6363
PWY-6367                              SET       7     -0.10946   -0.0015507      0.40146      0.60744 PWY-6367
PWY-641                               SET       9      0.11862    0.0019054      0.37947      0.37729 PWY-641
PWY-6440                              SET       3      -1.0887    -0.010098      0.83885      0.90283 PWY-6440
PWY-6441                              SET      15     -0.58336    -0.012096       0.3381      0.95776 PWY-6441
PWY-6465                              SET       2      0.17144    0.0012983      0.39983      0.33404 PWY-6465
PWY-6468                              SET       2      0.17144    0.0012983      0.39983      0.33404 PWY-6468
PWY-6483                              SET       6     0.071718   0.00094065      0.31585      0.41019 PWY-6483
PWY-6498                              SET       2      0.16284    0.0012332      0.81678      0.42099 PWY-6498
PWY-6527                              SET      18     -0.15692   -0.0035641      0.21551      0.76673 PWY-6527
PWY-6540                              SET       2     0.058574   0.00044358       1.2675      0.48157 PWY-6540
PWY-6543                              SET       3      0.38019    0.0035262       1.5026      0.40013 PWY-6543
PWY-6546                              SET      19     -0.20293   -0.0047355      0.27823       0.7671 PWY-6546
PWY-6554                              SET      22     0.063091    0.0015842      0.25599      0.40266 PWY-6554
PWY-6577                              SET       4     0.051255   0.00054891       1.0147      0.47986 PWY-6577
PWY-6596                              SET      22      0.40697     0.010219      0.23656     0.042687 PWY-6596
PWY-6606                              SET      16      0.54306      0.01163      0.30652     0.038227 PWY-6606
PWY-6607                              SET       8      0.41399    0.0062696       0.4213       0.1629 PWY-6607
PWY-6613                              SET       4     -0.53549   -0.0057348      0.62171      0.80546 PWY-6613
PWY-6717                              SET      23     -0.14345    -0.003683      0.23096      0.73274 PWY-6717
PWY-6745                              SET       4       0.3139    0.0033616      0.49624      0.26352 PWY-6745
PWY-6754                              SET       5      0.28005    0.0033532      0.32817      0.19673 PWY-6754
PWY-6762                              SET       5     -0.01077  -0.00012895      0.37916      0.51133 PWY-6762
PWY-6786                              SET       7      0.61487    0.0087106      0.53833       0.1267 PWY-6786
PWY-6803                              SET      90     -0.01582  -0.00080267      0.10596      0.55934 PWY-6803
PWY-6922                              SET       9      0.15128    0.0024299      0.28071      0.29498 PWY-6922
PWY-695                               SET      19     0.024579   0.00057356       0.2453      0.46009 PWY-695
PWY-6950                              SET       7     -0.42875   -0.0060739       0.4983      0.80522 PWY-6950
PWY-6952                              SET      21      0.29876    0.0073293      0.18892     0.056901 PWY-6952
PWY-6964                              SET      14     -0.20175   -0.0040416      0.29308      0.75439 PWY-6964
PWY-699                               SET       9      0.27548     0.004425      0.44525      0.26806 PWY-699
PWY-702                               SET       5     -0.60877   -0.0072891      0.52656      0.87618 PWY-702
PWY-7039                              SET      54      0.29483     0.011593      0.14845     0.023516 PWY-7039
PWY-7101                              SET       7     -0.12565     -0.00178      0.48108      0.60302 PWY-7101
PWY-7120                              SET       4     0.059237   0.00063439      0.54085      0.45639 PWY-7120
PWY-7176                              SET      13      0.30571    0.0059014      0.34382      0.18697 PWY-7176
PWY-7184                              SET      25     -0.25638   -0.0068622      0.22374      0.87408 PWY-7184
PWY-7187                              SET      11     -0.17006   -0.0030199      0.28023      0.72802 PWY-7187
PWY-7193                              SET      12    -0.071643   -0.0013288      0.27373      0.60324 PWY-7193
PWY-7196                              SET       8    -0.059605  -0.00090268      0.25647      0.59188 PWY-7196
PWY-7197                              SET      12    -0.099581   -0.0018469      0.40208       0.5978 PWY-7197
PWY-7199                              SET       8     -0.48987   -0.0074188      0.37724      0.90294 PWY-7199
PWY-7204                              SET      18      0.20603    0.0046796      0.27377      0.22586 PWY-7204
PWY-7205                              SET       9     0.082393    0.0013235      0.51637      0.43661 PWY-7205
PWY-7206                              SET       4       0.4914    0.0052626      0.36265     0.087713 PWY-7206
PWY-7208                              SET       8    -0.059605  -0.00090268      0.25647      0.59188 PWY-7208
PWY-7219                              SET      21      0.10376    0.0025455      0.23135      0.32689 PWY-7219
PWY-7221                              SET       7      0.73379     0.010395       0.3678     0.023024 PWY-7221
PWY-7253                              SET      24      0.17964    0.0047112      0.23665       0.2239 PWY-7253
PWY-7280                              SET       2      0.21028    0.0015925      0.68835         0.38 PWY-7280
PWY-7343                              SET      16     -0.23231   -0.0049749      0.22191      0.85241 PWY-7343
PWY-7344                              SET       4    -0.023946  -0.00025645      0.38966       0.5245 PWY-7344
PWY-7345                              SET       2        1.001    0.0075805      0.85522      0.12092 PWY-7345
PWY-735                               SET      25      0.24653    0.0065986      0.21648       0.1274 PWY-735
PWY-7416                              SET      45     0.024778   0.00088951      0.13798      0.42875 PWY-7416
PWY-7458                              SET       6      0.28854    0.0037844        0.396      0.23312 PWY-7458
PWY-7464                              SET       6      0.28854    0.0037844        0.396      0.23312 PWY-7464
PWY-7528                              SET       5       0.1951     0.002336      0.35847      0.29313 PWY-7528
PWY-7546                              SET       7     -0.23231   -0.0032911      0.36085      0.74014 PWY-7546
PWY-7560                              SET      17     -0.10401   -0.0022959      0.19808      0.70024 PWY-7560
PWY-7590                              SET       3     -0.40765   -0.0037808      0.79808      0.69525 PWY-7590
PWY-7634                              SET       8     -0.31345   -0.0047471      0.52045       0.7265 PWY-7634
PWY-7980                              SET      29    -0.072924   -0.0021021      0.23321      0.62274 PWY-7980
PWY-7985                              SET      12      0.18911    0.0035075      0.27084      0.24252 PWY-7985
PWY-8011                              SET      10    -0.081994   -0.0013883      0.31786      0.60178 PWY-8011
PWY-8105                              SET       2      0.71405    0.0054074      0.83304      0.19568 PWY-8105
PWY-8137                              SET       2     -0.60128   -0.0045535      0.67314      0.81413 PWY-8137
PWY-8157                              SET      51     -0.13026    -0.004978      0.16881      0.77984 PWY-8157
PWY-8159                              SET       2      0.25203    0.0019086       1.3814      0.42762 PWY-8159
PWY-8171                              SET       6      0.45389    0.0059531      0.50075      0.18236 PWY-8171
PWY-82                                SET       6      0.10749    0.0014099       0.4655      0.40869 PWY-82
PWY-8346                              SET      19     -0.05481    -0.001279      0.20513      0.60534 PWY-8346
PWY-861                               SET       8     -0.48899   -0.0074055      0.30188      0.94735 PWY-861
PWY-922                               SET      27    -0.021754  -0.00060509       0.1893      0.54574 PWY-922
PWY0-1264                             SET       6     -0.36222   -0.0047508      0.48892      0.77061 PWY0-1264
PWY0-166                              SET      21     -0.23192   -0.0056896      0.22868      0.84474 PWY0-166
PWY0A-6303                            SET       7     -0.55871   -0.0079151      0.35045      0.94455 PWY0A-6303
PWY18C3-1                             SET       2     -0.65478   -0.0049586      0.66784      0.83656 PWY18C3-1
PWY18C3-24                            SET       2      -1.1432   -0.0086574      0.64031      0.96289 PWY18C3-24
PWY1F-823                             SET       9      -0.3143   -0.0050486      0.45907      0.75321 PWY1F-823
PWY3O-4107                            SET      15     -0.19651   -0.0040747      0.35493      0.71009 PWY3O-4107
PWY3O-450                             SET       9      0.49513    0.0079532      0.35738     0.082969 PWY3O-450
PWY4FS-10                             SET       4     0.022215   0.00023791      0.75616      0.48828 PWY4FS-10
PWY4FS-2                              SET      15   -0.0096232  -0.00019954      0.32367      0.51186 PWY4FS-2
PWY4FS-3                              SET       9      -1.1442    -0.018379      0.46681      0.99288 PWY4FS-3
PWY4FS-4                              SET       8      -1.3243    -0.020055      0.47831      0.99718 PWY4FS-4
PWY4FS-6                              SET      12     0.080309    0.0014895      0.27277      0.38422 PWY4FS-6
PWY66-21                              SET      14     0.073624    0.0014749      0.23498      0.37702 PWY66-21
PWY66-385                             SET      12     -0.18411   -0.0034146      0.29184      0.73593 PWY66-385
PWY66-423                             SET       2      0.33627    0.0025465       1.6302      0.41829 PWY66-423
PWYDQC-4                              SET      17    -0.052868    -0.001167       0.2063      0.60113 PWYDQC-4
PWYQT-4445                            SET      18     -0.12285   -0.0027905      0.21296      0.71799 PWYQT-4445
PWYQT-4449                            SET       5      0.14325    0.0017152      0.74643      0.42391 PWYQT-4449
PWYQT-4466                            SET      23     -0.16554     -0.00425      0.20598       0.7892 PWYQT-4466
SERSYN-PWY                            SET       6      0.22597    0.0029638      0.59788      0.35274 SERSYN-PWY
SULFMETII-PWY                         SET       9      0.13941    0.0022393      0.41557      0.36864 SULFMETII-PWY
THIOREDOX-PWY                         SET      21    0.0021273   5.2188e-05      0.26881      0.49684 THIOREDOX-PWY
THRESYN-PWY                           SET       4      0.66206    0.0070903      0.70653      0.17437 THRESYN-PWY
TRIGLSYN-PWY                          SET      56      0.06233    0.0024958      0.14697      0.33575 TRIGLSYN-PWY
UDPNACETYLGALSYN-PWY                  SET      22      0.24817    0.0062313       0.2488      0.15928 UDPNACETYLGALSYN-PWY
VALSYN-PWY                            SET       9      0.02941   0.00047242      0.32636       0.4641 VALSYN-PWY
