pathway_size,rho,n_broken,method,lambda,lambda_se,type1_05,type1_05_se,n_combos
25,0,3,minp,1.290458324,0.110589591,0.1104,0.013717143,10
25,0,3,stouffer,1.525898402,0.129025325,0.0848,0.011104354,10
25,0,3,omnibus_analytic,0.994693164,0.010254285,0.1308,0.001083205,10
25,0,3,omnibus_mvn,0.965527717,0.008519432,0.0608,0.001236482,10
25,0,4,acat,1.664907704,0.156370883,0.1212,0.0148,5
25,0,4,fisher,1.685466348,0.158157116,0.0944,0.0116,5
25,0,4,tfisher,0.409077805,0.041827761,0.1188,0.0092,5
25,0,4,minp,1.425902359,0.135444034,0.1272,0.0168,5
25,0,4,stouffer,1.683921508,0.158023106,0.0984,0.0136,5
25,0,4,omnibus_analytic,1.169052878,0.017419286,0.1392,0.001019804,5
25,0,4,omnibus_mvn,0.968734969,0.005133317,0.0608,0.001959592,5
25,0.3,1,acat,1.268252035,0.164855664,0.1012,0.0212,5
25,0.3,1,fisher,0.757159516,0.103424275,0.2248,0.0128,5
25,0.3,1,tfisher,0.157018799,0.023991178,0.1424,0.0044,5
25,0.3,1,minp,0.468544762,0.06664198,0.068,0.016,5
25,0.3,1,stouffer,1.352729195,0.174683537,0.2836,0.0116,5
25,0.3,1,omnibus_analytic,0.641242188,0.009568017,0.2428,0.010556515,5
25,0.3,1,omnibus_mvn,1.005186047,0.005501121,0.0488,0.001496663,5
25,0.3,2,acat,1.433107699,0.134604086,0.1224,0.017309728,10
25,0.3,2,fisher,0.86058379,0.084445567,0.2376,0.010451156,10
25,0.3,2,tfisher,0.181009977,0.019588715,0.1468,0.003592585,10
25,0.3,2,minp,0.535186742,0.054412949,0.084,0.013063945,10
25,0.3,2,stouffer,1.527412732,0.142628511,0.2952,0.00947136,10
25,0.3,2,omnibus_analytic,0.751072435,0.008222323,0.2652,0.007637335,10
25,0.3,2,omnibus_mvn,1.000514721,0.002707903,0.0494,0.001034945,10
25,0.3,3,acat,1.597963363,0.134604086,0.1436,0.017309728,10
25,0.3,3,fisher,0.964008065,0.084445567,0.2504,0.010451156,10
25,0.3,3,tfisher,0.205001156,0.019588715,0.1512,0.003592585,10
25,0.3,3,minp,0.601828723,0.054412949,0.1,0.013063945,10
25,0.3,3,stouffer,1.702096269,0.142628511,0.3068,0.00947136,10
25,0.3,3,omnibus_analytic,0.877884251,0.008520801,0.2838,0.006629563,10
25,0.3,3,omnibus_mvn,0.991923956,0.003685165,0.0496,8.33E-04,10
25,0.3,4,acat,1.762819027,0.164855664,0.1648,0.0212,5
25,0.3,4,fisher,1.06743234,0.103424275,0.2632,0.0128,5
25,0.3,4,tfisher,0.228992334,0.023991178,0.1556,0.0044,5
25,0.3,4,minp,0.668470703,0.06664198,0.116,0.016,5
25,0.3,4,stouffer,1.876779807,0.174683537,0.3184,0.0116,5
25,0.3,4,omnibus_analytic,1.021560865,0.009593719,0.2984,0.007110556,5
25,0.3,4,omnibus_mvn,0.981984534,0.004791936,0.0492,8.00E-04,5
25,0.7,1,acat,1.146532779,0.15056203,0.0888,0.0168,5
25,0.7,1,fisher,0.189567093,0.028663956,0.2408,0.0108,5
25,0.7,1,tfisher,0.05252933,0.008414379,0.1144,0.0024,5
25,0.7,1,minp,0.042654779,0.006879017,0.0372,0.0072,5
25,0.7,1,stouffer,1.160117342,0.152166231,0.334,0.012,5
25,0.7,1,omnibus_analytic,0.094298512,0.004862211,0.2752,0.010229369,5
25,0.7,1,omnibus_mvn,0.92263994,0.007070285,0.0576,4.00E-04,5
25,0.7,2,acat,1.297094809,0.122933383,0.1056,0.013717143,10
25,0.7,2,fisher,0.218231049,0.023404022,0.2516,0.008818163,10
25,0.7,2,tfisher,0.060943709,0.006870311,0.1168,0.001959592,10
25,0.7,2,minp,0.049533797,0.005616694,0.0444,0.005878775,10
25,0.7,2,stouffer,1.312283573,0.124243207,0.346,0.009797959,10
25,0.7,2,omnibus_analytic,0.117075964,0.004725909,0.2862,0.008264785,10
25,0.7,2,omnibus_mvn,0.931938796,0.005531929,0.0576,2.67E-04,10
25,0.7,3,acat,1.447656839,0.122933383,0.1224,0.013717143,10
25,0.7,3,fisher,0.246895006,0.023404022,0.2624,0.008818163,10
25,0.7,3,tfisher,0.069358087,0.006870311,0.1192,0.001959592,10
25,0.7,3,minp,0.056412814,0.005616694,0.0516,0.005878775,10
25,0.7,3,stouffer,1.464449803,0.124243207,0.358,0.009797959,10
25,0.7,3,omnibus_analytic,0.143775195,0.004962961,0.298,0.008453796,10
25,0.7,3,omnibus_mvn,0.933650868,0.003582463,0.0578,2.00E-04,10
25,0.7,4,acat,1.59821887,0.15056203,0.1392,0.0168,5
25,0.7,4,fisher,0.275558962,0.028663956,0.2732,0.0108,5
25,0.7,4,tfisher,0.077772466,0.008414379,0.1216,0.0024,5
25,0.7,4,minp,0.063291832,0.006879017,0.0588,0.0072,5
25,0.7,4,stouffer,1.616616034,0.152166231,0.37,0.012,5
25,0.7,4,omnibus_analytic,0.176250432,0.006611229,0.3092,0.010307279,5
25,0.7,4,omnibus_mvn,0.938504453,0.002442907,0.058,0,5
50,0,1,acat,1.251586568,0.16291312,0.0836,0.0136,5
50,0,1,fisher,1.258778987,0.16375479,0.0648,0.0128,5
50,0,1,tfisher,0.302532311,0.044427272,0.0936,0.0096,5
50,0,1,minp,1.307604345,0.169446747,0.082,0.016,5
50,0,1,stouffer,1.243765013,0.161998816,0.0664,0.0184,5
50,0,1,omnibus_analytic,0.8919558,0.01301,0.1008,0.001854724,5
50,0,1,omnibus_mvn,1.111140064,0.009729152,0.0612,0.001356466,5
50,0,2,acat,1.414499688,0.133018006,0.0972,0.011104354,10
50,0,2,fisher,1.422533776,0.133705226,0.0776,0.010451156,10
50,0,2,tfisher,0.346959583,0.036274716,0.1032,0.007838367,10
50,0,2,minp,1.477051092,0.138352689,0.098,0.013063945,10
50,0,2,stouffer,1.405763829,0.132271479,0.0848,0.015023537,10
50,0,2,omnibus_analytic,1.07542495,0.012709518,0.1204,0.001973153,10
50,0,2,omnibus_mvn,1.13208856,0.008633715,0.063,0.002175623,10
50,0,3,acat,1.577412809,0.133018006,0.1108,0.011104354,10
50,0,3,fisher,1.586288566,0.133705226,0.0904,0.010451156,10
50,0,3,tfisher,0.391386855,0.036274716,0.1128,0.007838367,10
50,0,3,minp,1.646497838,0.138352689,0.114,0.013063945,10
50,0,3,stouffer,1.567762644,0.132271479,0.1032,0.015023537,10
50,0,3,omnibus_analytic,1.300408555,0.016382785,0.14,0.001788854,10
50,0,3,omnibus_mvn,1.161896229,0.006210145,0.063,0.002498889,10
50,0,4,acat,1.740325929,0.16291312,0.1244,0.0136,5
50,0,4,fisher,1.750043356,0.16375479,0.1032,0.0128,5
50,0,4,tfisher,0.435814127,0.044427272,0.1224,0.0096,5
50,0,4,minp,1.815944585,0.169446747,0.13,0.016,5
50,0,4,stouffer,1.72976146,0.161998816,0.1216,0.0184,5
50,0,4,omnibus_analytic,1.546753985,0.018188355,0.1556,0.002315167,5
50,0,4,omnibus_mvn,1.182251749,0.004621001,0.0636,0.0016,5
50,0.3,1,acat,0.94802988,0.126824635,0.0988,0.0188,5
50,0.3,1,fisher,0.824323787,0.111728956,0.2504,0.0144,5
50,0.3,1,tfisher,0.161488485,0.02463714,0.1504,0.0084,5
50,0.3,1,minp,0.609542375,0.084855126,0.0688,0.0128,5
50,0.3,1,stouffer,1.004732643,0.13366237,0.2916,0.0116,5
50,0.3,1,omnibus_analytic,0.544487357,0.014403635,0.2692,0.007144228,5
50,0.3,1,omnibus_mvn,1.047027043,0.008461812,0.07,8.94E-04,5
50,0.3,2,acat,1.074854514,0.10355188,0.1176,0.015350136,10
50,0.3,2,fisher,0.936052743,0.09122631,0.2648,0.011757551,10
50,0.3,2,tfisher,0.186125625,0.02011614,0.1588,0.006858571,10
50,0.3,2,minp,0.694397501,0.06928392,0.0816,0.010451156,10
50,0.3,2,stouffer,1.138395013,0.109134868,0.3032,0.00947136,10
50,0.3,2,omnibus_analytic,0.653835468,0.012456708,0.2852,0.005434049,10
50,0.3,2,omnibus_mvn,1.049931771,0.005907491,0.07,6.67E-04,10
50,0.3,3,acat,1.201679149,0.10355188,0.1364,0.015350136,10
50,0.3,3,fisher,1.047781699,0.09122631,0.2792,0.011757551,10
50,0.3,3,tfisher,0.210762764,0.02011614,0.1672,0.006858571,10
50,0.3,3,minp,0.779252626,0.06928392,0.0944,0.010451156,10
50,0.3,3,stouffer,1.272057383,0.109134868,0.3148,0.00947136,10
50,0.3,3,omnibus_analytic,0.79174867,0.015521222,0.2994,0.005383514,10
50,0.3,3,omnibus_mvn,1.056211869,0.005554272,0.071,6.83E-04,10
50,0.3,4,acat,1.328503784,0.126824635,0.1552,0.0188,5
50,0.3,4,fisher,1.159510655,0.111728956,0.2936,0.0144,5
50,0.3,4,tfisher,0.235399904,0.02463714,0.1756,0.0084,5
50,0.3,4,minp,0.864107752,0.084855126,0.1072,0.0128,5
50,0.3,4,stouffer,1.405719753,0.13366237,0.3264,0.0116,5
50,0.3,4,omnibus_analytic,0.964040107,0.022464118,0.3124,0.006144917,5
50,0.3,4,omnibus_mvn,1.059537644,0.00405983,0.072,6.32E-04,5
50,0.7,1,acat,1.157496388,0.151857404,0.0728,0.0148,5
50,0.7,1,fisher,0.198856695,0.029985694,0.236,0.01,5
50,0.7,1,tfisher,0.038678745,0.006256413,0.1364,0.0044,5
50,0.7,1,minp,0.040206832,0.006495985,0.0252,0.0052,5
50,0.7,1,stouffer,0.829714436,0.112394066,0.3044,0.0104,5
50,0.7,1,omnibus_analytic,0.057086169,0.0019536,0.2652,0.0108,5
50,0.7,1,omnibus_mvn,0.884520411,0.007229725,0.044,0.001549193,5
50,0.7,2,acat,1.309353792,0.123991051,0.0876,0.012084149,10
50,0.7,2,fisher,0.228842389,0.024483217,0.246,0.008164966,10
50,0.7,2,tfisher,0.044935158,0.00510834,0.1408,0.003592585,10
50,0.7,2,minp,0.046702817,0.00530395,0.0304,0.004245782,10
