block,pathway_size,cor_structure,method,calibration,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
E,25,LD_moderate,omnibus_all,mvn,0.9363180257475884,0.12182197398182959,0.06,0.010620734437881401,0.01,0.0044497190922573975
E,25,LD_strong,omnibus_minus_acat,mvn,1.0571036800476907,0.0924801720890869,0.06,0.010620734437881401,0.008,0.003983967871356395
E,25,LD_strong,omnibus_minus_fisher,mvn,1.0498297943283659,0.09857730799642546,0.058,0.010453324829928513,0.008,0.003983967871356395
E,25,LD_strong,omnibus_minus_tfisher,mvn,1.084045823853801,0.10031419464028334,0.066,0.011103512957618413,0.008,0.003983967871356395
E,25,LD_strong,omnibus_minus_minp,mvn,1.049821585535117,0.1101420583554503,0.06,0.010620734437881401,0.008,0.003983967871356395
E,25,LD_strong,omnibus_minus_stouffer,mvn,1.0741781362885912,0.09494129320574733,0.062,0.010784804124322332,0.008,0.003983967871356395
E,25,LD_strong,omnibus_all,mvn,1.0546598165764243,0.10048477711404896,0.06,0.010620734437881401,0.008,0.003983967871356395
E,25,LD_independent,omnibus_minus_acat,mvn,1.1970535311865775,0.12390859245312331,0.054,0.010107818755794942,0.008,0.003983967871356395
E,25,LD_independent,omnibus_minus_fisher,mvn,1.221261106372991,0.11093752043953262,0.052,0.00992935043192655,0.008,0.003983967871356395
E,25,LD_independent,omnibus_minus_tfisher,mvn,1.2293954182049789,0.09181407539116464,0.064,0.010945684080951725,0.008,0.003983967871356395
E,25,LD_independent,omnibus_minus_minp,mvn,1.2105021214593603,0.09500716761002595,0.054,0.010107818755794942,0.008,0.003983967871356395
E,25,LD_independent,omnibus_minus_stouffer,mvn,1.265198935728537,0.08801383519495677,0.054,0.010107818755794942,0.008,0.003983967871356395
E,25,LD_independent,omnibus_all,mvn,1.1945013745900777,0.09637761252615973,0.058,0.010453324829928513,0.008,0.003983967871356395
E,50,LD_moderate,omnibus_minus_acat,mvn,0.9746025872419816,0.06934967744529322,0.05,0.009746794344808964,0.008,0.003983967871356395
E,50,LD_moderate,omnibus_minus_fisher,mvn,0.9407707405106068,0.0997378165603903,0.05,0.009746794344808964,0.008,0.003983967871356395
E,50,LD_moderate,omnibus_minus_tfisher,mvn,0.9475521269753499,0.09538914571931943,0.056,0.010282412168358162,0.01,0.0044497190922573975
E,50,LD_moderate,omnibus_minus_minp,mvn,0.981530963559536,0.12421012079847622,0.05,0.009746794344808964,0.008,0.003983967871356395
E,50,LD_moderate,omnibus_minus_stouffer,mvn,0.9362728874939048,0.09752194957579172,0.044,0.009172131704244111,0.008,0.003983967871356395
E,50,LD_moderate,omnibus_all,mvn,0.9252053387021048,0.08540653721870574,0.05,0.009746794344808964,0.008,0.003983967871356395
E,50,LD_strong,omnibus_minus_acat,mvn,0.9252053387021048,0.08810046670744624,0.034,0.008104813384649889,0.012,0.004869496893930624
E,50,LD_strong,omnibus_minus_fisher,mvn,0.9252053387021048,0.06298316649957127,0.034,0.008104813384649889,0.014,0.00525433154644813
E,50,LD_strong,omnibus_minus_tfisher,mvn,0.9296203730077741,0.08120603167630465,0.046,0.00936845771725528,0.012,0.004869496893930624
E,50,LD_strong,omnibus_minus_minp,mvn,0.901189776256715,0.09495245512923207,0.034,0.008104813384649889,0.012,0.004869496893930624
E,50,LD_strong,omnibus_minus_stouffer,mvn,0.9564267323388701,0.0838668578702098,0.03,0.00762889244910426,0.01,0.0044497190922573975
E,50,LD_strong,omnibus_all,mvn,0.9274576854495932,0.08417327872130696,0.034,0.008104813384649889,0.012,0.004869496893930624
E,50,LD_independent,omnibus_minus_acat,mvn,0.9586871855920548,0.10767792904026757,0.074,0.011706750189527408,0.016,0.005611416933360059
E,50,LD_independent,omnibus_minus_fisher,mvn,1.0643857745602647,0.16593433388596351,0.074,0.011706750189527408,0.016,0.005611416933360059
E,50,LD_independent,omnibus_minus_tfisher,mvn,1.0889922741899667,0.11250133637506955,0.068,0.011258419071965654,0.008,0.003983967871356395
E,50,LD_independent,omnibus_minus_minp,mvn,1.0989528326155733,0.12159693477389387,0.076,0.011851075900524812,0.016,0.005611416933360059
E,50,LD_independent,omnibus_minus_stouffer,mvn,1.021134871848919,0.13387072636787303,0.068,0.011258419071965654,0.016,0.005611416933360059
E,50,LD_independent,omnibus_all,mvn,1.0644604795263763,0.11805060511795995,0.076,0.011851075900524812,0.016,0.005611416933360059
