pathway_size,missing_frac,method,strategy,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
25,0.1,acat,analytic_fallback,1.137522088,0.157149718,0.08,0.012132601,0.018,0.005945755
25,0.1,acat,mvn_true_cor,1.064385775,0.10483014,0.052,0.00992935,0.01,0.004449719
25,0.1,acat,mvn_imputed_cor,1.049829794,0.110287278,0.066,0.011103513,0.02,0.00626099
25,0.1,fisher,analytic_fallback,0.382731775,0.11950672,0.218,0.018464886,0.164,0.016559227
25,0.1,fisher,mvn_true_cor,1.040194316,0.100422,0.062,0.010784804,0.002,0.001997999
25,0.1,fisher,mvn_imputed_cor,1.021134872,0.116285306,0.072,0.011559931,0.016,0.005611417
25,0.1,tfisher,analytic_fallback,0.070682064,0.007866489,0.126,0.014840755,0.112,0.014103617
25,0.1,tfisher,mvn_true_cor,0.947499007,0.090743752,0.066,0.011103513,0,0
25,0.1,tfisher,mvn_imputed_cor,0.940725446,0.099317886,0.072,0.011559931,0,0
25,0.1,minp,analytic_fallback,0.149743368,0.035399492,0.042,0.008970619,0.012,0.004869497
25,0.1,minp,mvn_true_cor,0.896885393,0.094773333,0.052,0.00992935,0.01,0.004449719
25,0.1,minp,mvn_imputed_cor,0.967913866,0.096993395,0.06,0.010620734,0.016,0.005611417
25,0.1,stouffer,analytic_fallback,1.356408682,0.38928333,0.27,0.019854471,0.21,0.018215378
25,0.1,stouffer,mvn_true_cor,1.084037398,0.096573981,0.062,0.010784804,0,0
25,0.1,stouffer,mvn_imputed_cor,1.084037398,0.098742801,0.076,0.011851076,0.018,0.005945755
25,0.1,omnibus,analytic_fallback,0.24858699,0.073375955,0.23,0.018820202,0.19,0.01754423
25,0.1,omnibus,mvn_true_cor,1.054668056,0.097958549,0.054,0.010107819,0.002,0.001997999
25,0.1,omnibus,mvn_imputed_cor,1.084037398,0.109777506,0.068,0.011258419,0.018,0.005945755
25,0.3,acat,analytic_fallback,0.815237582,0.129002308,0.076,0.011851076,0.018,0.005945755
25,0.3,acat,mvn_true_cor,0.825780017,0.094207924,0.056,0.010282412,0.006,0.003453694
25,0.3,acat,mvn_imputed_cor,0.837929518,0.082705354,0.062,0.010784804,0.008,0.003983968
25,0.3,fisher,analytic_fallback,0.213337725,0.124248033,0.216,0.018403478,0.146,0.01579139
25,0.3,fisher,mvn_true_cor,0.899026634,0.125013441,0.046,0.009368458,0.006,0.003453694
25,0.3,fisher,mvn_imputed_cor,0.768048173,0.132379293,0.064,0.010945684,0.018,0.005945755
25,0.3,tfisher,analytic_fallback,0.063496076,0.006930176,0.108,0.013880634,0.088,0.012669333
25,0.3,tfisher,mvn_true_cor,0.831761449,0.097203718,0.052,0.00992935,0,0
25,0.3,tfisher,mvn_imputed_cor,0.669951095,0.095063096,0.058,0.010453325,0,0
25,0.3,minp,analytic_fallback,0.115725045,0.033193335,0.05,0.009746794,0.008,0.003983968
25,0.3,minp,mvn_true_cor,0.811478012,0.066099544,0.066,0.011103513,0.006,0.003453694
25,0.3,minp,mvn_imputed_cor,0.673422808,0.087139977,0.066,0.011103513,0.002,0.001997999
25,0.3,stouffer,analytic_fallback,0.707296454,0.263354177,0.296,0.020414897,0.208,0.018151364
25,0.3,stouffer,mvn_true_cor,0.896914579,0.096868501,0.048,0.009559916,0,0
25,0.3,stouffer,mvn_imputed_cor,0.875536896,0.10466002,0.07,0.011410521,0.02,0.00626099
25,0.3,omnibus,analytic_fallback,0.138616625,0.054938075,0.23,0.018820202,0.172,0.016876967
25,0.3,omnibus,mvn_true_cor,0.850314601,0.103113395,0.042,0.008970619,0.004,0.002822765
25,0.3,omnibus,mvn_imputed_cor,0.760324907,0.104551149,0.064,0.010945684,0.016,0.005611417
25,0.5,acat,analytic_fallback,1.061014694,0.142594046,0.076,0.011851076,0.018,0.005945755
25,0.5,acat,mvn_true_cor,1.007040921,0.095769448,0.05,0.009746794,0.01,0.004449719
25,0.5,acat,mvn_imputed_cor,0.931850369,0.093589637,0.05,0.009746794,0.01,0.004449719
25,0.5,fisher,analytic_fallback,0.300503138,0.128271757,0.23,0.018820202,0.148,0.015880554
25,0.5,fisher,mvn_true_cor,0.976893874,0.103722601,0.05,0.009746794,0.002,0.001997999
25,0.5,fisher,mvn_imputed_cor,0.773876884,0.112667768,0.09,0.012798437,0.04,0.008763561
25,0.5,tfisher,analytic_fallback,0.070576143,0.014890048,0.112,0.014103617,0.092,0.012925633
25,0.5,tfisher,mvn_true_cor,0.942985742,0.130777083,0.052,0.00992935,0,0
